subset,sample_size,cca_type,i_bootstrap_repetition,corr_learn,corr_val
all,50,repeated_cv,39,0.0529035098326881,-0.0407397980406341
all,50,repeated_cv,45,0.461291849077474,-0.0096902800119433
all,50,repeated_cv,94,0.0169010717829137,0.2059180075672639
all,50,repeated_cv,42,0.2789803198174921,0.2941149633658482
all,50,repeated_cv,93,0.0614665024575429,0.0187942286485878
all,50,repeated_cv,30,0.1305315106584234,-0.0476404611166119
all,50,repeated_cv,37,0.0362596202914295,0.2828364451874956
all,50,repeated_cv,79,0.4097209481137873,0.4111262234753203
all,50,repeated_cv,77,0.1279019758567601,-0.1304467293708959
all,50,repeated_cv,70,0.0112927797165559,0.0331124924206729
all,50,repeated_cv,61,0.004981669004574,0.0825384377745277
all,50,repeated_cv,66,0.0750347380335538,0.0780559271513339
all,50,repeated_cv,8,0.1129745790037815,-0.0692050167281952
all,50,repeated_cv,68,0.1558733877231739,0.4473483518020791
all,50,repeated_cv,6,0.4299493453115033,0.349120438068788
all,50,repeated_cv,14,0.0832898425777863,0.1890478845207498
all,50,repeated_cv,1,0.1329397148463997,0.0553532775263654
all,50,repeated_cv,13,0.3363594094206728,0.3128627237126459
all,50,repeated_cv,26,0.0645798711394085,-0.0481219319720828
all,50,repeated_cv,21,0.0662742301703858,0.0316789028833546
all,50,repeated_cv,82,0.1510269127085159,-0.1839476937732542
all,50,repeated_cv,53,0.0388514250370588,-0.0303675835302674
all,50,repeated_cv,28,0.1650489907407039,-0.0420123909771548
all,50,repeated_cv,85,0.5972363308619637,0.3555933771621786
all,50,repeated_cv,54,0.4999020085013166,-0.0293589878580022
all,50,repeated_cv,71,0.1151945102498226,-0.4949796986897777
all,50,repeated_cv,76,0.6547866219122346,-0.2254320344334131
all,50,repeated_cv,78,0.0745373986139332,-0.1320155905723399
all,50,repeated_cv,36,0.2953391449609612,-0.0073760208823883
all,50,repeated_cv,31,0.4668249497982761,-0.0186200185241679
all,50,repeated_cv,43,0.245858084959242,0.4357232410158143
all,50,repeated_cv,92,0.2467611910449856,-0.0900155145543279
all,50,repeated_cv,38,0.1014452429182242,0.2746683097312579
all,50,repeated_cv,44,0.1965392108690073,0.0956795271300081
all,50,repeated_cv,95,0.1921459055903129,-0.1461749870968314
all,50,repeated_cv,29,0.0718503510550157,-0.3130613067402892
all,50,repeated_cv,84,0.2043813680956356,-0.1193875317007784
all,50,repeated_cv,55,0.1423172329974571,0.5359216977475585
all,50,repeated_cv,83,0.3047984040798668,0.3765159931449252
all,50,repeated_cv,52,0.2148214557922436,0.1076434807739886
all,50,repeated_cv,20,0.3070863844876517,0.1663590556348297
all,50,repeated_cv,27,0.1829832960511077,0.1646507485875932
all,50,repeated_cv,12,0.2953351484983537,-0.3196213689476476
all,50,repeated_cv,100,0.0972151975539734,0.1295302463746335
all,50,repeated_cv,69,0.1727020346276618,-0.1064905533823528
all,50,repeated_cv,7,0.088954939426471,0.3146243399549977
all,50,repeated_cv,15,0.0637539305579059,-0.3074109053282097
all,50,repeated_cv,67,0.0876733317783324,0.2946109005076399
all,50,repeated_cv,9,0.1776576290945847,0.2175617456615581
all,50,repeated_cv,60,0.0015991443361187,-0.0509697720890454
all,50,repeated_cv,80,0.2921363280828504,0.3828469467241402
all,50,repeated_cv,51,0.0319308280560215,-0.404560758230956
all,50,repeated_cv,87,0.1008008283836858,-0.1329818802975447
all,50,repeated_cv,56,0.1812511178204894,0.1533116927992908
all,50,repeated_cv,24,0.3025978575858301,0.5088525596676168
all,50,repeated_cv,89,0.0328449504111971,-0.0858233486200799
all,50,repeated_cv,58,0.0566222454716442,-0.3151669193500219
all,50,repeated_cv,23,0.0466469056521354,-0.2898619155386388
all,50,repeated_cv,16,0.262031700118982,0.1604718965522886
all,50,repeated_cv,4,0.0355883891698896,-0.0496506215804055
all,50,repeated_cv,11,0.1737978235856717,0.1246347108920744
all,50,repeated_cv,3,0.1545095238378322,-0.3203039036510782
all,50,repeated_cv,63,0.1322888750339841,-0.0442935105107415
all,50,repeated_cv,64,0.053327540359956,-0.2926615890584991
all,50,repeated_cv,18,0.3466516232389964,0.1869029393584325
all,50,repeated_cv,75,0.0495258356711545,-0.009054734083802
all,50,repeated_cv,72,0.2696506729194585,-0.1779319812783084
all,50,repeated_cv,32,0.1791185907086524,-0.1747793006079308
all,50,repeated_cv,35,0.2087160560251262,-0.0268203562138795
all,50,repeated_cv,49,0.173876390663719,-0.2471432056343581
all,50,repeated_cv,98,0.2739633742151026,0.0637287251692368
all,50,repeated_cv,47,0.5419532820736908,-0.2427836240507017
all,50,repeated_cv,96,0.2832686152649022,-0.1135884818406632
all,50,repeated_cv,40,0.0857528008798866,-0.2273437416105193
all,50,repeated_cv,91,0.2612254279364215,0.4595053874496657
all,50,repeated_cv,65,0.0725670754216876,0.1345007149201205
all,50,repeated_cv,19,0.023228188958045,-0.2540606873992972
all,50,repeated_cv,62,0.3814174790978657,-0.2095901272776071
all,50,repeated_cv,10,0.3177356758062857,0.0497021321780553
all,50,repeated_cv,2,0.2467402063280643,-0.1453560801167543
all,50,repeated_cv,17,0.0504246011250537,0.2064745115384518
all,50,repeated_cv,5,0.073383399443005,0.1093069446222141
all,50,repeated_cv,22,0.0582814677118822,0.1913696249889531
all,50,repeated_cv,25,0.1394250904043776,0.4496172953840671
all,50,repeated_cv,88,0.1782025684893005,0.0455133780554447
all,50,repeated_cv,59,0.1401810861439467,-0.0361406731281404
all,50,repeated_cv,86,0.2564920370110415,0.0864180407449093
all,50,repeated_cv,57,0.320748604679557,0.5015787759194945
all,50,repeated_cv,81,0.1243046468041191,-0.2428274662994831
all,50,repeated_cv,50,0.0753849252979161,-0.12413987658425
all,50,repeated_cv,41,0.033300674964889,-0.0826254231430945
all,50,repeated_cv,90,0.181771608834184,0.198211274109884
all,50,repeated_cv,46,0.2897990093830946,-0.1064315132178161
all,50,repeated_cv,97,0.1924359369144119,-0.0856364282309312
all,50,repeated_cv,34,0.3874584136009318,0.3507756018289689
all,50,repeated_cv,48,0.3174324746723804,-0.0700785737568985
all,50,repeated_cv,99,0.0988950419138052,-0.0595021976823819
all,50,repeated_cv,33,0.1696515048349067,0.1015542044402066
all,50,repeated_cv,73,0.0152172811206001,-0.0890743399719804
all,50,repeated_cv,74,0.4998152660721926,0.2032264621707225
all,61,repeated_cv,10,0.2579388567814302,0.3834843527964676
all,61,repeated_cv,17,0.0325594166875826,0.1552289012339909
all,61,repeated_cv,9,0.0336169618750277,0.1383034808884404
all,61,repeated_cv,19,0.1329566557477233,0.1581145708744296
all,61,repeated_cv,7,0.1040514393415339,-0.0656972548704684
all,61,repeated_cv,65,0.0342493389374021,0.4836291906202662
all,61,repeated_cv,62,0.0330434407911535,-0.0169796698726629
all,61,repeated_cv,57,0.2233847791553493,0.1815225372085356
all,61,repeated_cv,86,0.2142543615624008,-0.171244565471488
all,61,repeated_cv,50,0.0514517106088541,0.0778928198736426
all,61,repeated_cv,81,0.1253397483066318,-0.2739246579534025
all,61,repeated_cv,22,0.1922032431468779,0.2155213112433993
all,61,repeated_cv,59,0.3093263563794995,-0.5692029898623308
all,61,repeated_cv,88,0.1820369964888279,0.000400666954746
all,61,repeated_cv,25,0.0630046824402561,-0.0146891926258238
all,61,repeated_cv,99,0.265449258525305,0.0887275673826268
all,61,repeated_cv,48,0.0553369872405002,-0.317459283265058
all,61,repeated_cv,34,0.1575114465732757,0.1575942523460749
all,61,repeated_cv,33,0.0766350467371088,0.1383846814271387
all,61,repeated_cv,90,0.0328728802137712,0.2728632345009258
all,61,repeated_cv,41,0.0678413928916139,-0.1017406804136549
all,61,repeated_cv,97,0.0287560418410377,-0.0042239083677908
all,61,repeated_cv,46,0.0137748904107199,-0.5257829937061644
all,61,repeated_cv,73,0.0068761773203931,0.1471333516502939
all,61,repeated_cv,74,0.1195269961607452,0.4073733868143172
all,61,repeated_cv,58,0.0239167610387897,-0.0540202418204287
all,61,repeated_cv,89,0.2568210278182508,-0.0040221336079158
all,61,repeated_cv,24,0.0510550093432391,-0.180651994623467
all,61,repeated_cv,23,0.1883913597372848,0.2387740903690847
all,61,repeated_cv,51,0.3545452342246378,0.05782724793962
