label,50,61,75,93,114,140,173,213,262,322,396,487,599,737,907,1116,1372,1688,2077
Weighted-mean MD in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract forceps minor,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
Weighted-mean MD in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract posterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract anterior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract anterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean ISOVF in tract posterior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
Weighted-mean MD in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
Weighted-mean ISOVF in tract superior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
Weighted-mean MO in tract superior thalamic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
Weighted-mean MO in tract superior thalamic radiation (left),True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False
Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
Weighted-mean MD in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract cingulate gyrus part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract parahippocampal part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract corticospinal tract (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract middle cerebellar peduncle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract medial lemniscus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract corticospinal tract (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract uncinate fasciculus (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MD in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract medial lemniscus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract uncinate fasciculus (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean OD in tract cingulate gyrus part of cingulum (left),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean MO in tract acoustic radiation (right),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Weighted-mean ISOVF in tract forceps minor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
