i_bootstrap_repetition,label,loading
0,[Numeric memory] Maximum digits remembered correctly,0.2083730389524173
1,[Numeric memory] Maximum digits remembered correctly,0.2076708726158512
2,[Numeric memory] Maximum digits remembered correctly,0.2153964191821699
3,[Numeric memory] Maximum digits remembered correctly,0.2352364738005126
4,[Numeric memory] Maximum digits remembered correctly,0.1986971647385591
5,[Numeric memory] Maximum digits remembered correctly,0.2281899743710773
6,[Numeric memory] Maximum digits remembered correctly,0.2267645729788505
7,[Numeric memory] Maximum digits remembered correctly,0.2405371830268844
8,[Numeric memory] Maximum digits remembered correctly,0.2399887301635377
9,[Numeric memory] Maximum digits remembered correctly,0.2208836012999595
10,[Numeric memory] Maximum digits remembered correctly,0.2067247230457173
11,[Numeric memory] Maximum digits remembered correctly,0.2192498201137238
12,[Numeric memory] Maximum digits remembered correctly,0.2135029015957177
13,[Numeric memory] Maximum digits remembered correctly,0.2227264205228201
14,[Numeric memory] Maximum digits remembered correctly,0.2381227164685204
15,[Numeric memory] Maximum digits remembered correctly,0.2292273650919266
16,[Numeric memory] Maximum digits remembered correctly,0.2356389060709398
17,[Numeric memory] Maximum digits remembered correctly,0.2188893718031124
18,[Numeric memory] Maximum digits remembered correctly,0.2047100400791749
19,[Numeric memory] Maximum digits remembered correctly,0.2449169193501798
20,[Numeric memory] Maximum digits remembered correctly,0.229737250640249
21,[Numeric memory] Maximum digits remembered correctly,0.243927658265488
22,[Numeric memory] Maximum digits remembered correctly,0.2400854731936801
23,[Numeric memory] Maximum digits remembered correctly,0.2340795008329793
24,[Numeric memory] Maximum digits remembered correctly,0.2421820840201044
25,[Numeric memory] Maximum digits remembered correctly,0.2424241804017571
26,[Numeric memory] Maximum digits remembered correctly,0.2341631785445261
27,[Numeric memory] Maximum digits remembered correctly,0.2221098363018985
28,[Numeric memory] Maximum digits remembered correctly,0.2405320880256549
29,[Numeric memory] Maximum digits remembered correctly,0.2166940756713939
30,[Numeric memory] Maximum digits remembered correctly,0.2329911134912547
31,[Numeric memory] Maximum digits remembered correctly,0.2162225932561728
32,[Numeric memory] Maximum digits remembered correctly,0.1931846549717668
33,[Numeric memory] Maximum digits remembered correctly,0.2226400350125499
34,[Numeric memory] Maximum digits remembered correctly,0.2199194258564918
35,[Numeric memory] Maximum digits remembered correctly,0.2243093344000832
36,[Numeric memory] Maximum digits remembered correctly,0.2185736097000936
37,[Numeric memory] Maximum digits remembered correctly,0.2435093814036651
38,[Numeric memory] Maximum digits remembered correctly,0.2171199787176644
39,[Numeric memory] Maximum digits remembered correctly,0.239119121213552
40,[Numeric memory] Maximum digits remembered correctly,0.2158839225688441
41,[Numeric memory] Maximum digits remembered correctly,0.2052441814543619
42,[Numeric memory] Maximum digits remembered correctly,0.211622956248506
43,[Numeric memory] Maximum digits remembered correctly,0.2502663081536561
44,[Numeric memory] Maximum digits remembered correctly,0.224976131743261
45,[Numeric memory] Maximum digits remembered correctly,0.2469007234387965
46,[Numeric memory] Maximum digits remembered correctly,0.2154115892230244
47,[Numeric memory] Maximum digits remembered correctly,0.2303594048104285
48,[Numeric memory] Maximum digits remembered correctly,0.2310072656901014
49,[Numeric memory] Maximum digits remembered correctly,0.2208183391908672
50,[Numeric memory] Maximum digits remembered correctly,0.2279330245362564
51,[Numeric memory] Maximum digits remembered correctly,0.2249734256606712
52,[Numeric memory] Maximum digits remembered correctly,0.2387226578164171
53,[Numeric memory] Maximum digits remembered correctly,0.2595467243559079
54,[Numeric memory] Maximum digits remembered correctly,0.2229504875154484
55,[Numeric memory] Maximum digits remembered correctly,0.213679496763285
