i_bootstrap_repetition,label,loading
0,Weighted-mean FA in tract acoustic radiation (left),0.1295258525540078
1,Weighted-mean FA in tract acoustic radiation (left),0.1330849550279404
2,Weighted-mean FA in tract acoustic radiation (left),0.1348388986345025
3,Weighted-mean FA in tract acoustic radiation (left),0.1427557622266771
4,Weighted-mean FA in tract acoustic radiation (left),0.1208631377697493
5,Weighted-mean FA in tract acoustic radiation (left),0.1119997506456118
6,Weighted-mean FA in tract acoustic radiation (left),0.125054152782507
7,Weighted-mean FA in tract acoustic radiation (left),0.1314803865372245
8,Weighted-mean FA in tract acoustic radiation (left),0.1221194721828381
9,Weighted-mean FA in tract acoustic radiation (left),0.1392182726170505
10,Weighted-mean FA in tract acoustic radiation (left),0.1068407945867496
11,Weighted-mean FA in tract acoustic radiation (left),0.1156844211589181
12,Weighted-mean FA in tract acoustic radiation (left),0.1269196016475952
13,Weighted-mean FA in tract acoustic radiation (left),0.0962599238470316
14,Weighted-mean FA in tract acoustic radiation (left),0.118812892273035
15,Weighted-mean FA in tract acoustic radiation (left),0.114620226113651
16,Weighted-mean FA in tract acoustic radiation (left),0.1382846918825286
17,Weighted-mean FA in tract acoustic radiation (left),0.1530016846245891
18,Weighted-mean FA in tract acoustic radiation (left),0.1180833101764563
19,Weighted-mean FA in tract acoustic radiation (left),0.1017391141933317
20,Weighted-mean FA in tract acoustic radiation (left),0.1381971259214087
21,Weighted-mean FA in tract acoustic radiation (left),0.12218367522131
22,Weighted-mean FA in tract acoustic radiation (left),0.127653362090396
23,Weighted-mean FA in tract acoustic radiation (left),0.1145701129236248
24,Weighted-mean FA in tract acoustic radiation (left),0.1395202414591506
25,Weighted-mean FA in tract acoustic radiation (left),0.1380807950201558
26,Weighted-mean FA in tract acoustic radiation (left),0.1207799194108782
27,Weighted-mean FA in tract acoustic radiation (left),0.1222525181876858
28,Weighted-mean FA in tract acoustic radiation (left),0.1148443005753041
29,Weighted-mean FA in tract acoustic radiation (left),0.1245751387857746
30,Weighted-mean FA in tract acoustic radiation (left),0.121028175820365
31,Weighted-mean FA in tract acoustic radiation (left),0.1113779390823092
32,Weighted-mean FA in tract acoustic radiation (left),0.111764456473037
33,Weighted-mean FA in tract acoustic radiation (left),0.1342535028731898
34,Weighted-mean FA in tract acoustic radiation (left),0.1168618901620007
35,Weighted-mean FA in tract acoustic radiation (left),0.1270310894901392
36,Weighted-mean FA in tract acoustic radiation (left),0.0987981075204612
37,Weighted-mean FA in tract acoustic radiation (left),0.1191037636527021
38,Weighted-mean FA in tract acoustic radiation (left),0.1151016268313264
39,Weighted-mean FA in tract acoustic radiation (left),0.1211086198039357
40,Weighted-mean FA in tract acoustic radiation (left),0.109678984195608
41,Weighted-mean FA in tract acoustic radiation (left),0.105673881816197
42,Weighted-mean FA in tract acoustic radiation (left),0.1114191817556201
43,Weighted-mean FA in tract acoustic radiation (left),0.1258935250684229
44,Weighted-mean FA in tract acoustic radiation (left),0.1307403369876884
45,Weighted-mean FA in tract acoustic radiation (left),0.1180836345784674
46,Weighted-mean FA in tract acoustic radiation (left),0.1093761693281894
47,Weighted-mean FA in tract acoustic radiation (left),0.1280295842968218
48,Weighted-mean FA in tract acoustic radiation (left),0.1244151097511774
49,Weighted-mean FA in tract acoustic radiation (left),0.081654332947224
50,Weighted-mean FA in tract acoustic radiation (left),0.1015047635756048
51,Weighted-mean FA in tract acoustic radiation (left),0.0887112328541591
52,Weighted-mean FA in tract acoustic radiation (left),0.0902270643976924
53,Weighted-mean FA in tract acoustic radiation (left),0.1219817136361361
54,Weighted-mean FA in tract acoustic radiation (left),0.1032562327036625
55,Weighted-mean FA in tract acoustic radiation (left),0.1012334960862131
56,Weighted-mean FA in tract acoustic radiation (left),0.1033485660661522
57,Weighted-mean FA in tract acoustic radiation (left),0.1056963340465186
58,Weighted-mean FA in tract acoustic radiation (left),0.1035362790910583
59,Weighted-mean FA in tract acoustic radiation (left),0.1111433868745439
60,Weighted-mean FA in tract acoustic radiation (left),0.1211907991753096
61,Weighted-mean FA in tract acoustic radiation (left),0.0952565102361718
62,Weighted-mean FA in tract acoustic radiation (left),0.1126871572982318
63,Weighted-mean FA in tract acoustic radiation (left),0.1405056308277295
64,Weighted-mean FA in tract acoustic radiation (left),0.1295477133501709
65,Weighted-mean FA in tract acoustic radiation (left),0.1160317698385096
66,Weighted-mean FA in tract acoustic radiation (left),0.1087490306931445
67,Weighted-mean FA in tract acoustic radiation (left),0.104389724155341
68,Weighted-mean FA in tract acoustic radiation (left),0.1143013925879906
