i_bootstrap_repetition,label,loading
0,Weighted-mean FA in tract acoustic radiation (left),0.1293951331208426
1,Weighted-mean FA in tract acoustic radiation (left),0.1317002746190971
2,Weighted-mean FA in tract acoustic radiation (left),0.1355276976897927
3,Weighted-mean FA in tract acoustic radiation (left),0.1420643269213446
4,Weighted-mean FA in tract acoustic radiation (left),0.1187997754327721
5,Weighted-mean FA in tract acoustic radiation (left),0.1116610224226656
6,Weighted-mean FA in tract acoustic radiation (left),0.1245770715902381
7,Weighted-mean FA in tract acoustic radiation (left),0.1305299862520957
8,Weighted-mean FA in tract acoustic radiation (left),0.121814715598812
9,Weighted-mean FA in tract acoustic radiation (left),0.139462443834861
10,Weighted-mean FA in tract acoustic radiation (left),0.1063297817216291
11,Weighted-mean FA in tract acoustic radiation (left),0.1149107841956711
12,Weighted-mean FA in tract acoustic radiation (left),0.1249617906737804
13,Weighted-mean FA in tract acoustic radiation (left),0.098046295652264
14,Weighted-mean FA in tract acoustic radiation (left),0.1196775001306763
15,Weighted-mean FA in tract acoustic radiation (left),0.1143249890213363
16,Weighted-mean FA in tract acoustic radiation (left),0.1363931491970966
17,Weighted-mean FA in tract acoustic radiation (left),0.1528707372848226
18,Weighted-mean FA in tract acoustic radiation (left),0.1161368712227684
19,Weighted-mean FA in tract acoustic radiation (left),0.1023122372634495
20,Weighted-mean FA in tract acoustic radiation (left),0.1392181146453523
21,Weighted-mean FA in tract acoustic radiation (left),0.1228494683322976
22,Weighted-mean FA in tract acoustic radiation (left),0.1276485257477599
23,Weighted-mean FA in tract acoustic radiation (left),0.115476636876726
24,Weighted-mean FA in tract acoustic radiation (left),0.1384587267184316
25,Weighted-mean FA in tract acoustic radiation (left),0.1372030173236963
26,Weighted-mean FA in tract acoustic radiation (left),0.1232060511988428
27,Weighted-mean FA in tract acoustic radiation (left),0.1214708089286349
28,Weighted-mean FA in tract acoustic radiation (left),0.1148764979024898
29,Weighted-mean FA in tract acoustic radiation (left),0.1255062212483406
30,Weighted-mean FA in tract acoustic radiation (left),0.1212498518760503
31,Weighted-mean FA in tract acoustic radiation (left),0.1121948823243774
32,Weighted-mean FA in tract acoustic radiation (left),0.1113003792293645
33,Weighted-mean FA in tract acoustic radiation (left),0.1347317679914776
34,Weighted-mean FA in tract acoustic radiation (left),0.1156066063952532
35,Weighted-mean FA in tract acoustic radiation (left),0.1256930300532112
36,Weighted-mean FA in tract acoustic radiation (left),0.1024384264965039
37,Weighted-mean FA in tract acoustic radiation (left),0.1181498681704619
38,Weighted-mean FA in tract acoustic radiation (left),0.115789986723016
39,Weighted-mean FA in tract acoustic radiation (left),0.1223305587792205
40,Weighted-mean FA in tract acoustic radiation (left),0.1110212227624129
41,Weighted-mean FA in tract acoustic radiation (left),0.1056343216514787
42,Weighted-mean FA in tract acoustic radiation (left),0.1112895358750995
43,Weighted-mean FA in tract acoustic radiation (left),0.1249488117716135
44,Weighted-mean FA in tract acoustic radiation (left),0.1310864601530756
45,Weighted-mean FA in tract acoustic radiation (left),0.1181736304657873
46,Weighted-mean FA in tract acoustic radiation (left),0.1087555477455463
47,Weighted-mean FA in tract acoustic radiation (left),0.127817554431941
48,Weighted-mean FA in tract acoustic radiation (left),0.1268836552312484
49,Weighted-mean FA in tract acoustic radiation (left),0.0831064046852539
50,Weighted-mean FA in tract acoustic radiation (left),0.1026571650481066
51,Weighted-mean FA in tract acoustic radiation (left),0.0888782962901444
52,Weighted-mean FA in tract acoustic radiation (left),0.0915148048675565
53,Weighted-mean FA in tract acoustic radiation (left),0.1205857176685644
54,Weighted-mean FA in tract acoustic radiation (left),0.10146194184928
55,Weighted-mean FA in tract acoustic radiation (left),0.1023449798331723
56,Weighted-mean FA in tract acoustic radiation (left),0.1034534521498321
57,Weighted-mean FA in tract acoustic radiation (left),0.1039288207390393
58,Weighted-mean FA in tract acoustic radiation (left),0.1033795887955684
59,Weighted-mean FA in tract acoustic radiation (left),0.1109444196696791
60,Weighted-mean FA in tract acoustic radiation (left),0.1201394764305775
61,Weighted-mean FA in tract acoustic radiation (left),0.0925689459150562
62,Weighted-mean FA in tract acoustic radiation (left),0.1114931694544221
63,Weighted-mean FA in tract acoustic radiation (left),0.1405663184330127
64,Weighted-mean FA in tract acoustic radiation (left),0.1281954141581995
65,Weighted-mean FA in tract acoustic radiation (left),0.1172864181004683
66,Weighted-mean FA in tract acoustic radiation (left),0.1094350161252682
67,Weighted-mean FA in tract acoustic radiation (left),0.1052959655783946
68,Weighted-mean FA in tract acoustic radiation (left),0.1184189173941129
69,Weighted-mean FA in tract acoustic radiation (left),0.1116634794534253
70,Weighted-mean FA in tract acoustic radiation (left),0.110627191966693
71,Weighted-mean FA in tract acoustic radiation (left),0.1024969710699446
72,Weighted-mean FA in tract acoustic radiation (left),0.1346141776061736
73,Weighted-mean FA in tract acoustic radiation (left),0.0967345518499014
74,Weighted-mean FA in tract acoustic radiation (left),0.1239725432538927
75,Weighted-mean FA in tract acoustic radiation (left),0.0987867614008699
76,Weighted-mean FA in tract acoustic radiation (left),0.1251201453441781
77,Weighted-mean FA in tract acoustic radiation (left),0.1009027271466882
78,Weighted-mean FA in tract acoustic radiation (left),0.1379660634383231
