i_bootstrap_repetition,label,loading
0,Weighted-mean FA in tract acoustic radiation (left),0.1233402496850011
1,Weighted-mean FA in tract acoustic radiation (left),0.1152191937241065
2,Weighted-mean FA in tract acoustic radiation (left),0.1293075122278414
3,Weighted-mean FA in tract acoustic radiation (left),0.0990977918673899
4,Weighted-mean FA in tract acoustic radiation (left),0.0973179464455567
5,Weighted-mean FA in tract acoustic radiation (left),0.1168826045813733
6,Weighted-mean FA in tract acoustic radiation (left),0.0900090708937373
7,Weighted-mean FA in tract acoustic radiation (left),0.1490046409746607
8,Weighted-mean FA in tract acoustic radiation (left),0.0788941808324704
9,Weighted-mean FA in tract acoustic radiation (left),0.117826836619127
10,Weighted-mean FA in tract acoustic radiation (left),0.1645233128018366
11,Weighted-mean FA in tract acoustic radiation (left),0.1455869352947516
12,Weighted-mean FA in tract acoustic radiation (left),0.1110983532786389
13,Weighted-mean FA in tract acoustic radiation (left),0.1780285793457308
14,Weighted-mean FA in tract acoustic radiation (left),0.0747661086880025
15,Weighted-mean FA in tract acoustic radiation (left),0.1149388497216311
16,Weighted-mean FA in tract acoustic radiation (left),0.1174688515859067
17,Weighted-mean FA in tract acoustic radiation (left),0.0936229808248295
18,Weighted-mean FA in tract acoustic radiation (left),0.1472947108413931
19,Weighted-mean FA in tract acoustic radiation (left),0.0831659071682352
20,Weighted-mean FA in tract acoustic radiation (left),0.1397830834772642
21,Weighted-mean FA in tract acoustic radiation (left),0.0238408823198026
22,Weighted-mean FA in tract acoustic radiation (left),0.1823805375106586
23,Weighted-mean FA in tract acoustic radiation (left),0.1306251310640246
24,Weighted-mean FA in tract acoustic radiation (left),0.0910992454365059
25,Weighted-mean FA in tract acoustic radiation (left),0.0875809906202284
26,Weighted-mean FA in tract acoustic radiation (left),0.1186105110195148
27,Weighted-mean FA in tract acoustic radiation (left),0.1224515203619533
28,Weighted-mean FA in tract acoustic radiation (left),0.1339586375134483
29,Weighted-mean FA in tract acoustic radiation (left),0.1484130764257114
30,Weighted-mean FA in tract acoustic radiation (left),0.085484455399128
31,Weighted-mean FA in tract acoustic radiation (left),0.1650777499540906
32,Weighted-mean FA in tract acoustic radiation (left),0.0684886970176959
33,Weighted-mean FA in tract acoustic radiation (left),0.1353291879997362
34,Weighted-mean FA in tract acoustic radiation (left),0.0803699814675271
35,Weighted-mean FA in tract acoustic radiation (left),0.0874185519733617
36,Weighted-mean FA in tract acoustic radiation (left),0.1035938582286458
37,Weighted-mean FA in tract acoustic radiation (left),0.1028926763399242
38,Weighted-mean FA in tract acoustic radiation (left),0.0446165422494229
39,Weighted-mean FA in tract acoustic radiation (left),0.1555160543283615
40,Weighted-mean FA in tract acoustic radiation (left),0.1426311001985985
41,Weighted-mean FA in tract acoustic radiation (left),0.0497245137359264
42,Weighted-mean FA in tract acoustic radiation (left),0.1573319807831327
43,Weighted-mean FA in tract acoustic radiation (left),0.1732724508878074
44,Weighted-mean FA in tract acoustic radiation (left),0.1067310296182428
45,Weighted-mean FA in tract acoustic radiation (left),0.088175045672973
46,Weighted-mean FA in tract acoustic radiation (left),0.1615768211169676
47,Weighted-mean FA in tract acoustic radiation (left),0.1461246517717206
48,Weighted-mean FA in tract acoustic radiation (left),0.1256793050959489
49,Weighted-mean FA in tract acoustic radiation (left),0.1233382177848123
50,Weighted-mean FA in tract acoustic radiation (left),0.1532207995698293
51,Weighted-mean FA in tract acoustic radiation (left),0.1599677085908786
52,Weighted-mean FA in tract acoustic radiation (left),0.0642562734980995
53,Weighted-mean FA in tract acoustic radiation (left),0.0587895708240083
54,Weighted-mean FA in tract acoustic radiation (left),0.1186120366870737
55,Weighted-mean FA in tract acoustic radiation (left),0.1245854549945381
56,Weighted-mean FA in tract acoustic radiation (left),0.0956999966080715
57,Weighted-mean FA in tract acoustic radiation (left),0.0870931088072212
58,Weighted-mean FA in tract acoustic radiation (left),0.1092085673405174
59,Weighted-mean FA in tract acoustic radiation (left),0.118269832377827
60,Weighted-mean FA in tract acoustic radiation (left),0.1510028396641925
61,Weighted-mean FA in tract acoustic radiation (left),0.0938180100283963
62,Weighted-mean FA in tract acoustic radiation (left),0.1131971274322102
63,Weighted-mean FA in tract acoustic radiation (left),0.0877895450371544
64,Weighted-mean FA in tract acoustic radiation (left),0.0353379469065093
65,Weighted-mean FA in tract acoustic radiation (left),0.0835772439946571
66,Weighted-mean FA in tract acoustic radiation (left),0.121519679077734
67,Weighted-mean FA in tract acoustic radiation (left),0.151716716171306
68,Weighted-mean FA in tract acoustic radiation (left),0.0870866945713679
69,Weighted-mean FA in tract acoustic radiation (left),0.0959451245709905
70,Weighted-mean FA in tract acoustic radiation (left),0.1682403383360135
71,Weighted-mean FA in tract acoustic radiation (left),0.05171307934482
72,Weighted-mean FA in tract acoustic radiation (left),0.107883879663514
73,Weighted-mean FA in tract acoustic radiation (left),0.1239285049027083
74,Weighted-mean FA in tract acoustic radiation (left),0.1198705343098028
75,Weighted-mean FA in tract acoustic radiation (left),0.1516951124651152
76,Weighted-mean FA in tract acoustic radiation (left),0.0808619021447247
77,Weighted-mean FA in tract acoustic radiation (left),0.1271052453476687
78,Weighted-mean FA in tract acoustic radiation (left),0.1377359739424798
79,Weighted-mean FA in tract acoustic radiation (left),0.0361603845088535
80,Weighted-mean FA in tract acoustic radiation (left),0.1588224975546644
81,Weighted-mean FA in tract acoustic radiation (left),0.1341420717678184
82,Weighted-mean FA in tract acoustic radiation (left),0.1062931775683242
83,Weighted-mean FA in tract acoustic radiation (left),0.1349494574922553
84,Weighted-mean FA in tract acoustic radiation (left),0.1189217059920716
85,Weighted-mean FA in tract acoustic radiation (left),0.1662258318443205
86,Weighted-mean FA in tract acoustic radiation (left),0.1102216665053794
87,Weighted-mean FA in tract acoustic radiation (left),0.0586373499909897
88,Weighted-mean FA in tract acoustic radiation (left),0.1137031630795443
89,Weighted-mean FA in tract acoustic radiation (left),0.1246217439716425
90,Weighted-mean FA in tract acoustic radiation (left),0.1039440559260062
91,Weighted-mean FA in tract acoustic radiation (left),0.0845111866082383
92,Weighted-mean FA in tract acoustic radiation (left),0.0987215913346982
93,Weighted-mean FA in tract acoustic radiation (left),0.0980558404551726
94,Weighted-mean FA in tract acoustic radiation (left),0.1018803667937057
95,Weighted-mean FA in tract acoustic radiation (left),0.0890752513769766
96,Weighted-mean FA in tract acoustic radiation (left),0.1157256188945146
97,Weighted-mean FA in tract acoustic radiation (left),0.128001069931211
98,Weighted-mean FA in tract acoustic radiation (left),0.0547184628514548
99,Weighted-mean FA in tract acoustic radiation (left),0.0162610666614773
0,Weighted-mean FA in tract acoustic radiation (right),0.038303230591724
1,Weighted-mean FA in tract acoustic radiation (right),-0.1020933288868
2,Weighted-mean FA in tract acoustic radiation (right),0.0273613428627946
3,Weighted-mean FA in tract acoustic radiation (right),-0.0402908810267272
4,Weighted-mean FA in tract acoustic radiation (right),-0.0406487595910205
5,Weighted-mean FA in tract acoustic radiation (right),-0.0679562799736044
6,Weighted-mean FA in tract acoustic radiation (right),-0.0838187455827594
7,Weighted-mean FA in tract acoustic radiation (right),0.0959002315773894
8,Weighted-mean FA in tract acoustic radiation (right),-0.0301166078877971
9,Weighted-mean FA in tract acoustic radiation (right),-0.0279414905168952
10,Weighted-mean FA in tract acoustic radiation (right),0.0012519598792255
11,Weighted-mean FA in tract acoustic radiation (right),-0.0848556412094579
12,Weighted-mean FA in tract acoustic radiation (right),-0.0391653748704744
13,Weighted-mean FA in tract acoustic radiation (right),0.0253066003662957
14,Weighted-mean FA in tract acoustic radiation (right),-0.0699144381612736
15,Weighted-mean FA in tract acoustic radiation (right),-0.0325627294121328
16,Weighted-mean FA in tract acoustic radiation (right),-0.0718448245440993
17,Weighted-mean FA in tract acoustic radiation (right),-0.0085507850099084
18,Weighted-mean FA in tract acoustic radiation (right),0.0067552199534468
19,Weighted-mean FA in tract acoustic radiation (right),-0.0138624009695167
20,Weighted-mean FA in tract acoustic radiation (right),0.0290880647343695
21,Weighted-mean FA in tract acoustic radiation (right),-0.1105488309101174
22,Weighted-mean FA in tract acoustic radiation (right),0.0457550030265396
23,Weighted-mean FA in tract acoustic radiation (right),-0.0222491579316172
24,Weighted-mean FA in tract acoustic radiation (right),-0.0301972943146015
25,Weighted-mean FA in tract acoustic radiation (right),-0.1005196845253968
26,Weighted-mean FA in tract acoustic radiation (right),-0.037396277461729
27,Weighted-mean FA in tract acoustic radiation (right),-0.0197841022975796
28,Weighted-mean FA in tract acoustic radiation (right),-0.0318486449211602
29,Weighted-mean FA in tract acoustic radiation (right),0.067866827691259
30,Weighted-mean FA in tract acoustic radiation (right),-0.0927313905938579
31,Weighted-mean FA in tract acoustic radiation (right),-0.0198153272020956
32,Weighted-mean FA in tract acoustic radiation (right),-0.0865297263168183
33,Weighted-mean FA in tract acoustic radiation (right),0.0056278397703308
34,Weighted-mean FA in tract acoustic radiation (right),-0.1413642199954162
35,Weighted-mean FA in tract acoustic radiation (right),-0.1168429681499167
36,Weighted-mean FA in tract acoustic radiation (right),-0.0462783154800686
37,Weighted-mean FA in tract acoustic radiation (right),-0.0594654882914851
38,Weighted-mean FA in tract acoustic radiation (right),-0.1017026150105634
39,Weighted-mean FA in tract acoustic radiation (right),0.0462856588705997
40,Weighted-mean FA in tract acoustic radiation (right),0.0120535218170163
41,Weighted-mean FA in tract acoustic radiation (right),-0.0596514381222304
42,Weighted-mean FA in tract acoustic radiation (right),0.009554859426496
43,Weighted-mean FA in tract acoustic radiation (right),0.0297689763484222
44,Weighted-mean FA in tract acoustic radiation (right),-0.0341003629536296
45,Weighted-mean FA in tract acoustic radiation (right),-0.0720653331073631
46,Weighted-mean FA in tract acoustic radiation (right),0.0188534872707381
47,Weighted-mean FA in tract acoustic radiation (right),0.0345074467836044
48,Weighted-mean FA in tract acoustic radiation (right),-0.0541818415217624
49,Weighted-mean FA in tract acoustic radiation (right),-0.1130297317703673
50,Weighted-mean FA in tract acoustic radiation (right),0.0351022310759865
51,Weighted-mean FA in tract acoustic radiation (right),-0.0442037661817478
52,Weighted-mean FA in tract acoustic radiation (right),-0.086780211500696
53,Weighted-mean FA in tract acoustic radiation (right),-0.0605160930210589
54,Weighted-mean FA in tract acoustic radiation (right),-0.0687131022942118
