i_bootstrap_repetition,label,loading
0,[Numeric memory] Maximum digits remembered correctly,0.1584853983365929
1,[Numeric memory] Maximum digits remembered correctly,0.1123692721788797
2,[Numeric memory] Maximum digits remembered correctly,0.1266979230026231
3,[Numeric memory] Maximum digits remembered correctly,0.1505159461706087
4,[Numeric memory] Maximum digits remembered correctly,0.1062438540581171
5,[Numeric memory] Maximum digits remembered correctly,0.0896535971459184
6,[Numeric memory] Maximum digits remembered correctly,0.2032751588886905
7,[Numeric memory] Maximum digits remembered correctly,0.1650329845079667
8,[Numeric memory] Maximum digits remembered correctly,0.1189685987595627
9,[Numeric memory] Maximum digits remembered correctly,0.2209540740018601
10,[Numeric memory] Maximum digits remembered correctly,0.1842920031892463
11,[Numeric memory] Maximum digits remembered correctly,0.1393801653044722
12,[Numeric memory] Maximum digits remembered correctly,0.1696561635046601
13,[Numeric memory] Maximum digits remembered correctly,0.1775308169433685
14,[Numeric memory] Maximum digits remembered correctly,0.1647571796218111
15,[Numeric memory] Maximum digits remembered correctly,0.0772583957532772
16,[Numeric memory] Maximum digits remembered correctly,0.2318861234574823
17,[Numeric memory] Maximum digits remembered correctly,0.089225348463331
18,[Numeric memory] Maximum digits remembered correctly,0.1754759442156596
19,[Numeric memory] Maximum digits remembered correctly,0.1016786846244452
20,[Numeric memory] Maximum digits remembered correctly,0.1448095135265882
21,[Numeric memory] Maximum digits remembered correctly,0.0533757211066971
22,[Numeric memory] Maximum digits remembered correctly,0.0641580927805623
23,[Numeric memory] Maximum digits remembered correctly,0.0547907107467172
24,[Numeric memory] Maximum digits remembered correctly,0.0676498999090711
25,[Numeric memory] Maximum digits remembered correctly,0.1466562766092262
26,[Numeric memory] Maximum digits remembered correctly,0.1564077207955555
27,[Numeric memory] Maximum digits remembered correctly,0.1620512363696408
28,[Numeric memory] Maximum digits remembered correctly,0.2105302306445952
29,[Numeric memory] Maximum digits remembered correctly,0.1392913408788466
30,[Numeric memory] Maximum digits remembered correctly,0.1711624838914106
31,[Numeric memory] Maximum digits remembered correctly,0.1021248212976239
32,[Numeric memory] Maximum digits remembered correctly,0.1882212603716035
33,[Numeric memory] Maximum digits remembered correctly,0.1124928533998709
34,[Numeric memory] Maximum digits remembered correctly,0.1969183715611652
35,[Numeric memory] Maximum digits remembered correctly,0.1188667456638453
36,[Numeric memory] Maximum digits remembered correctly,0.162768292688382
37,[Numeric memory] Maximum digits remembered correctly,0.1061216926840868
38,[Numeric memory] Maximum digits remembered correctly,0.1225795377367471
39,[Numeric memory] Maximum digits remembered correctly,0.13799849194494
40,[Numeric memory] Maximum digits remembered correctly,0.1083636457760557
41,[Numeric memory] Maximum digits remembered correctly,0.2171609355285828
42,[Numeric memory] Maximum digits remembered correctly,0.0928139571867375
43,[Numeric memory] Maximum digits remembered correctly,0.0444638602149988
44,[Numeric memory] Maximum digits remembered correctly,0.1881373003654217
45,[Numeric memory] Maximum digits remembered correctly,0.0114296393490108
46,[Numeric memory] Maximum digits remembered correctly,0.1481951980127314
47,[Numeric memory] Maximum digits remembered correctly,0.1305439239763105
48,[Numeric memory] Maximum digits remembered correctly,0.226163419029291
49,[Numeric memory] Maximum digits remembered correctly,0.1877484237672533
50,[Numeric memory] Maximum digits remembered correctly,0.1508369463689386
51,[Numeric memory] Maximum digits remembered correctly,0.196707587486947
52,[Numeric memory] Maximum digits remembered correctly,0.0968429189317309
53,[Numeric memory] Maximum digits remembered correctly,0.1759211060588401
54,[Numeric memory] Maximum digits remembered correctly,0.2172886203650584
55,[Numeric memory] Maximum digits remembered correctly,0.1451595591443311
56,[Numeric memory] Maximum digits remembered correctly,0.2650010220030135
57,[Numeric memory] Maximum digits remembered correctly,0.0807529181069772
58,[Numeric memory] Maximum digits remembered correctly,0.155719788679366
59,[Numeric memory] Maximum digits remembered correctly,0.0772262811578299
60,[Numeric memory] Maximum digits remembered correctly,0.1569034356866648
61,[Numeric memory] Maximum digits remembered correctly,0.2037269372956302
62,[Numeric memory] Maximum digits remembered correctly,0.1206397707421856
63,[Numeric memory] Maximum digits remembered correctly,0.1866686144664659
64,[Numeric memory] Maximum digits remembered correctly,0.147895550612374
65,[Numeric memory] Maximum digits remembered correctly,0.1421814569641161
66,[Numeric memory] Maximum digits remembered correctly,0.0641909933567776
67,[Numeric memory] Maximum digits remembered correctly,0.1357914008010757
68,[Numeric memory] Maximum digits remembered correctly,0.1979199642021034
69,[Numeric memory] Maximum digits remembered correctly,0.1107996271909837
70,[Numeric memory] Maximum digits remembered correctly,0.2014057420356079
71,[Numeric memory] Maximum digits remembered correctly,0.1028748381913346
72,[Numeric memory] Maximum digits remembered correctly,0.1521121056507601
73,[Numeric memory] Maximum digits remembered correctly,0.1052151962429723
74,[Numeric memory] Maximum digits remembered correctly,0.1420373614130071
75,[Numeric memory] Maximum digits remembered correctly,0.1018201583724709
76,[Numeric memory] Maximum digits remembered correctly,0.1457864012875185
77,[Numeric memory] Maximum digits remembered correctly,0.1618370640811645
78,[Numeric memory] Maximum digits remembered correctly,0.1226568984696214
79,[Numeric memory] Maximum digits remembered correctly,0.1915614762524047
80,[Numeric memory] Maximum digits remembered correctly,0.1462439979688252
81,[Numeric memory] Maximum digits remembered correctly,0.2074321986809127
82,[Numeric memory] Maximum digits remembered correctly,0.113230797238565
83,[Numeric memory] Maximum digits remembered correctly,0.1459278498108996
84,[Numeric memory] Maximum digits remembered correctly,0.1596709469919406
85,[Numeric memory] Maximum digits remembered correctly,0.1593615493685166
86,[Numeric memory] Maximum digits remembered correctly,0.1575684421268214
87,[Numeric memory] Maximum digits remembered correctly,0.2015454218942508
88,[Numeric memory] Maximum digits remembered correctly,0.1264300484964053
89,[Numeric memory] Maximum digits remembered correctly,0.2037160908214329
90,[Numeric memory] Maximum digits remembered correctly,0.0613186577173639
