i_bootstrap_repetition,label,loading
0,Weighted-mean FA in tract acoustic radiation (left),0.0608476626406867
1,Weighted-mean FA in tract acoustic radiation (left),0.0434697979849494
2,Weighted-mean FA in tract acoustic radiation (left),0.0141027432463391
3,Weighted-mean FA in tract acoustic radiation (left),0.0866589529735048
4,Weighted-mean FA in tract acoustic radiation (left),0.0405852734204022
5,Weighted-mean FA in tract acoustic radiation (left),0.0301907040988037
6,Weighted-mean FA in tract acoustic radiation (left),0.0648826234602293
7,Weighted-mean FA in tract acoustic radiation (left),0.0706959444760068
8,Weighted-mean FA in tract acoustic radiation (left),0.0607259859552915
9,Weighted-mean FA in tract acoustic radiation (left),0.1323646511258996
10,Weighted-mean FA in tract acoustic radiation (left),0.0428455925370119
11,Weighted-mean FA in tract acoustic radiation (left),0.1288021199908744
12,Weighted-mean FA in tract acoustic radiation (left),0.1532283441768239
13,Weighted-mean FA in tract acoustic radiation (left),0.1048994258245497
14,Weighted-mean FA in tract acoustic radiation (left),0.1024712343444696
15,Weighted-mean FA in tract acoustic radiation (left),0.0557446164929612
16,Weighted-mean FA in tract acoustic radiation (left),0.1632785074951566
17,Weighted-mean FA in tract acoustic radiation (left),0.0907277986292762
18,Weighted-mean FA in tract acoustic radiation (left),0.1613370275423736
19,Weighted-mean FA in tract acoustic radiation (left),0.0865531818306643
20,Weighted-mean FA in tract acoustic radiation (left),0.1041919951611428
21,Weighted-mean FA in tract acoustic radiation (left),0.0339148706484065
22,Weighted-mean FA in tract acoustic radiation (left),0.1646163428948008
23,Weighted-mean FA in tract acoustic radiation (left),0.1681982449604757
24,Weighted-mean FA in tract acoustic radiation (left),0.1290619441947726
25,Weighted-mean FA in tract acoustic radiation (left),0.1115926642316645
26,Weighted-mean FA in tract acoustic radiation (left),0.1220975723119072
27,Weighted-mean FA in tract acoustic radiation (left),0.047790360888153
28,Weighted-mean FA in tract acoustic radiation (left),0.0314579189328534
29,Weighted-mean FA in tract acoustic radiation (left),0.098443000615866
30,Weighted-mean FA in tract acoustic radiation (left),0.0499716682590123
31,Weighted-mean FA in tract acoustic radiation (left),0.0273155055985266
32,Weighted-mean FA in tract acoustic radiation (left),0.1242771613540814
33,Weighted-mean FA in tract acoustic radiation (left),0.0930837630458956
34,Weighted-mean FA in tract acoustic radiation (left),0.0327777244886367
35,Weighted-mean FA in tract acoustic radiation (left),0.0440557916569572
36,Weighted-mean FA in tract acoustic radiation (left),0.0842964471324692
37,Weighted-mean FA in tract acoustic radiation (left),0.0708161126351504
38,Weighted-mean FA in tract acoustic radiation (left),0.101266713274599
39,Weighted-mean FA in tract acoustic radiation (left),0.046684099823065
40,Weighted-mean FA in tract acoustic radiation (left),0.0198405980662845
41,Weighted-mean FA in tract acoustic radiation (left),0.0341849184527882
42,Weighted-mean FA in tract acoustic radiation (left),0.0895802418831494
43,Weighted-mean FA in tract acoustic radiation (left),0.0774497931262713
44,Weighted-mean FA in tract acoustic radiation (left),0.1028196102476482
45,Weighted-mean FA in tract acoustic radiation (left),-0.0058779042796149
46,Weighted-mean FA in tract acoustic radiation (left),0.0364025156349258
47,Weighted-mean FA in tract acoustic radiation (left),0.0745940605929632
48,Weighted-mean FA in tract acoustic radiation (left),0.1312849207709654
49,Weighted-mean FA in tract acoustic radiation (left),0.0323300525353072
50,Weighted-mean FA in tract acoustic radiation (left),0.1488419902981213
51,Weighted-mean FA in tract acoustic radiation (left),0.0993041939315106
52,Weighted-mean FA in tract acoustic radiation (left),0.0958622578968033
53,Weighted-mean FA in tract acoustic radiation (left),0.1511947815572067
54,Weighted-mean FA in tract acoustic radiation (left),0.1116601406283108
55,Weighted-mean FA in tract acoustic radiation (left),0.135747754238108
56,Weighted-mean FA in tract acoustic radiation (left),0.0742649106956889
57,Weighted-mean FA in tract acoustic radiation (left),0.0867195318840615
58,Weighted-mean FA in tract acoustic radiation (left),0.0688309326466502
59,Weighted-mean FA in tract acoustic radiation (left),0.032768331306827
60,Weighted-mean FA in tract acoustic radiation (left),0.0436002049389964
61,Weighted-mean FA in tract acoustic radiation (left),0.0692548360859492
62,Weighted-mean FA in tract acoustic radiation (left),0.092325477433215
63,Weighted-mean FA in tract acoustic radiation (left),0.1558759095341124
64,Weighted-mean FA in tract acoustic radiation (left),0.0831816447862289
65,Weighted-mean FA in tract acoustic radiation (left),0.0901291713668292
66,Weighted-mean FA in tract acoustic radiation (left),0.0224647917049817
67,Weighted-mean FA in tract acoustic radiation (left),0.1057538727076155
68,Weighted-mean FA in tract acoustic radiation (left),0.1054593991777868
69,Weighted-mean FA in tract acoustic radiation (left),0.0811554799411633
70,Weighted-mean FA in tract acoustic radiation (left),0.0508475491586526
71,Weighted-mean FA in tract acoustic radiation (left),0.0427746124848949
72,Weighted-mean FA in tract acoustic radiation (left),0.0838070719842445
73,Weighted-mean FA in tract acoustic radiation (left),0.1280863952345936
74,Weighted-mean FA in tract acoustic radiation (left),0.1279193792120035
75,Weighted-mean FA in tract acoustic radiation (left),0.0391616817353033
76,Weighted-mean FA in tract acoustic radiation (left),0.1016667415815874
77,Weighted-mean FA in tract acoustic radiation (left),0.1270395873642356
78,Weighted-mean FA in tract acoustic radiation (left),0.1591433858535438
79,Weighted-mean FA in tract acoustic radiation (left),0.1660160099225744
80,Weighted-mean FA in tract acoustic radiation (left),0.0961916867684171
81,Weighted-mean FA in tract acoustic radiation (left),0.1377420617136305
82,Weighted-mean FA in tract acoustic radiation (left),0.1296026193484669
83,Weighted-mean FA in tract acoustic radiation (left),0.0459223571072222
84,Weighted-mean FA in tract acoustic radiation (left),0.0838668790078065
85,Weighted-mean FA in tract acoustic radiation (left),0.0637461503844488
86,Weighted-mean FA in tract acoustic radiation (left),0.0700798234320853
87,Weighted-mean FA in tract acoustic radiation (left),0.0875508588142954
88,Weighted-mean FA in tract acoustic radiation (left),0.1255141499656103
89,Weighted-mean FA in tract acoustic radiation (left),0.1096894449886126
90,Weighted-mean FA in tract acoustic radiation (left),0.0944058872626649
91,Weighted-mean FA in tract acoustic radiation (left),0.0607162088118098
92,Weighted-mean FA in tract acoustic radiation (left),0.1396948511470142
93,Weighted-mean FA in tract acoustic radiation (left),0.0161686647136042
94,Weighted-mean FA in tract acoustic radiation (left),0.0634801879301009
95,Weighted-mean FA in tract acoustic radiation (left),0.0892930901606252
96,Weighted-mean FA in tract acoustic radiation (left),0.0455419098755223
97,Weighted-mean FA in tract acoustic radiation (left),0.1484653981523366
98,Weighted-mean FA in tract acoustic radiation (left),0.0295836369944596
99,Weighted-mean FA in tract acoustic radiation (left),0.0945944008946038
0,Weighted-mean FA in tract acoustic radiation (right),-0.0432568120464001
1,Weighted-mean FA in tract acoustic radiation (right),0.0590777235789565
2,Weighted-mean FA in tract acoustic radiation (right),-0.0874389556418729
3,Weighted-mean FA in tract acoustic radiation (right),-0.0824429658388987
4,Weighted-mean FA in tract acoustic radiation (right),-0.0326102355075341
5,Weighted-mean FA in tract acoustic radiation (right),0.0610590719097439
6,Weighted-mean FA in tract acoustic radiation (right),0.0413507005343967
7,Weighted-mean FA in tract acoustic radiation (right),0.016285842466445
8,Weighted-mean FA in tract acoustic radiation (right),-0.0337449658496495
9,Weighted-mean FA in tract acoustic radiation (right),0.0265176017382435
10,Weighted-mean FA in tract acoustic radiation (right),-0.0707212821631544
11,Weighted-mean FA in tract acoustic radiation (right),0.0412727042369967
12,Weighted-mean FA in tract acoustic radiation (right),0.0921431176599547
13,Weighted-mean FA in tract acoustic radiation (right),-0.0490537955676716
14,Weighted-mean FA in tract acoustic radiation (right),0.076958874683606
15,Weighted-mean FA in tract acoustic radiation (right),-0.0202735497790322
16,Weighted-mean FA in tract acoustic radiation (right),0.1155295865148563
17,Weighted-mean FA in tract acoustic radiation (right),-0.066235435988779
18,Weighted-mean FA in tract acoustic radiation (right),0.0620371063594932
19,Weighted-mean FA in tract acoustic radiation (right),0.0015896932723969
20,Weighted-mean FA in tract acoustic radiation (right),-0.0145090631254473
21,Weighted-mean FA in tract acoustic radiation (right),-0.0873458499575488
22,Weighted-mean FA in tract acoustic radiation (right),0.0720213417272245
23,Weighted-mean FA in tract acoustic radiation (right),0.0481509929201858
24,Weighted-mean FA in tract acoustic radiation (right),0.024544115775022
25,Weighted-mean FA in tract acoustic radiation (right),-0.0001453887719007
26,Weighted-mean FA in tract acoustic radiation (right),0.0435004207294021
27,Weighted-mean FA in tract acoustic radiation (right),-0.007710075791458
28,Weighted-mean FA in tract acoustic radiation (right),-0.0285440055810186
29,Weighted-mean FA in tract acoustic radiation (right),-0.0047454679050385
30,Weighted-mean FA in tract acoustic radiation (right),-0.0156755949504355
31,Weighted-mean FA in tract acoustic radiation (right),-0.0328104767143731
32,Weighted-mean FA in tract acoustic radiation (right),0.0534699784171095
33,Weighted-mean FA in tract acoustic radiation (right),-0.0176282131850602
