i_bootstrap_repetition,label,loading
0,[Numeric memory] Maximum digits remembered correctly,0.3521639570014
1,[Numeric memory] Maximum digits remembered correctly,0.3269903519901695
2,[Numeric memory] Maximum digits remembered correctly,0.3033887418018426
3,[Numeric memory] Maximum digits remembered correctly,0.3288359321141756
4,[Numeric memory] Maximum digits remembered correctly,0.3422490451118993
5,[Numeric memory] Maximum digits remembered correctly,0.3482671669070125
6,[Numeric memory] Maximum digits remembered correctly,0.4187362698676394
7,[Numeric memory] Maximum digits remembered correctly,0.3218720278445718
8,[Numeric memory] Maximum digits remembered correctly,0.2606962713951975
9,[Numeric memory] Maximum digits remembered correctly,0.3683902449965479
10,[Numeric memory] Maximum digits remembered correctly,0.3072102622905419
11,[Numeric memory] Maximum digits remembered correctly,0.3211823877302104
12,[Numeric memory] Maximum digits remembered correctly,0.3528497891046384
13,[Numeric memory] Maximum digits remembered correctly,0.3027175955294097
14,[Numeric memory] Maximum digits remembered correctly,0.3319765496414201
15,[Numeric memory] Maximum digits remembered correctly,0.2466760601399654
16,[Numeric memory] Maximum digits remembered correctly,0.2795677523536366
17,[Numeric memory] Maximum digits remembered correctly,0.3702698440760383
18,[Numeric memory] Maximum digits remembered correctly,0.2933311838969577
19,[Numeric memory] Maximum digits remembered correctly,0.2682723057827682
20,[Numeric memory] Maximum digits remembered correctly,0.3260757975132874
21,[Numeric memory] Maximum digits remembered correctly,0.3659762206351896
22,[Numeric memory] Maximum digits remembered correctly,0.2799908295097987
23,[Numeric memory] Maximum digits remembered correctly,0.3187916463721209
24,[Numeric memory] Maximum digits remembered correctly,0.2465034649537476
25,[Numeric memory] Maximum digits remembered correctly,0.289226195846746
26,[Numeric memory] Maximum digits remembered correctly,0.2918209298334034
27,[Numeric memory] Maximum digits remembered correctly,0.3438718542689067
28,[Numeric memory] Maximum digits remembered correctly,0.2299030273482184
29,[Numeric memory] Maximum digits remembered correctly,0.3252204900214293
30,[Numeric memory] Maximum digits remembered correctly,0.271809026998854
31,[Numeric memory] Maximum digits remembered correctly,0.3007076871222821
32,[Numeric memory] Maximum digits remembered correctly,0.283272856103871
33,[Numeric memory] Maximum digits remembered correctly,0.2928601864351424
34,[Numeric memory] Maximum digits remembered correctly,0.3262823681735161
35,[Numeric memory] Maximum digits remembered correctly,0.3393021543381509
