i_bootstrap_repetition,label,loading
0,Weighted-mean FA in tract acoustic radiation (left),0.1537655059850891
1,Weighted-mean FA in tract acoustic radiation (left),0.141771830925825
2,Weighted-mean FA in tract acoustic radiation (left),0.1505397726252704
3,Weighted-mean FA in tract acoustic radiation (left),0.1804935764248887
4,Weighted-mean FA in tract acoustic radiation (left),0.1332335506638474
5,Weighted-mean FA in tract acoustic radiation (left),0.1089975782002922
6,Weighted-mean FA in tract acoustic radiation (left),0.1805404665214947
7,Weighted-mean FA in tract acoustic radiation (left),0.1356530535655926
8,Weighted-mean FA in tract acoustic radiation (left),0.1774033423529745
9,Weighted-mean FA in tract acoustic radiation (left),0.1314620134523541
10,Weighted-mean FA in tract acoustic radiation (left),0.0779870553236669
11,Weighted-mean FA in tract acoustic radiation (left),0.0883112715291559
12,Weighted-mean FA in tract acoustic radiation (left),0.1189455050803168
13,Weighted-mean FA in tract acoustic radiation (left),0.1739220020084033
14,Weighted-mean FA in tract acoustic radiation (left),0.1129097666049314
15,Weighted-mean FA in tract acoustic radiation (left),0.1083375246421078
16,Weighted-mean FA in tract acoustic radiation (left),0.1298997636872715
17,Weighted-mean FA in tract acoustic radiation (left),0.1973923086010715
18,Weighted-mean FA in tract acoustic radiation (left),0.094323076772523
19,Weighted-mean FA in tract acoustic radiation (left),0.1372018534035582
20,Weighted-mean FA in tract acoustic radiation (left),0.0921288011628162
21,Weighted-mean FA in tract acoustic radiation (left),0.1475960665855139
22,Weighted-mean FA in tract acoustic radiation (left),0.1041089382486489
23,Weighted-mean FA in tract acoustic radiation (left),0.1444433285374309
24,Weighted-mean FA in tract acoustic radiation (left),0.1574557474443083
25,Weighted-mean FA in tract acoustic radiation (left),0.0898194971669156
26,Weighted-mean FA in tract acoustic radiation (left),0.1657798453121504
27,Weighted-mean FA in tract acoustic radiation (left),0.1548779768019118
28,Weighted-mean FA in tract acoustic radiation (left),0.1482256601819445
29,Weighted-mean FA in tract acoustic radiation (left),0.1455912464808569
30,Weighted-mean FA in tract acoustic radiation (left),0.1174507249722021
31,Weighted-mean FA in tract acoustic radiation (left),0.1544654952175133
32,Weighted-mean FA in tract acoustic radiation (left),0.0626790539744081
33,Weighted-mean FA in tract acoustic radiation (left),0.1494076197336589
34,Weighted-mean FA in tract acoustic radiation (left),0.0189709956110213
35,Weighted-mean FA in tract acoustic radiation (left),0.0148431601696726
36,Weighted-mean FA in tract acoustic radiation (left),0.1394676585460879
37,Weighted-mean FA in tract acoustic radiation (left),0.1170212595431703
38,Weighted-mean FA in tract acoustic radiation (left),0.134587044703186
39,Weighted-mean FA in tract acoustic radiation (left),0.1331512007002062
40,Weighted-mean FA in tract acoustic radiation (left),0.1751731078597323
41,Weighted-mean FA in tract acoustic radiation (left),0.1922173913750388
42,Weighted-mean FA in tract acoustic radiation (left),0.1674179267398002
43,Weighted-mean FA in tract acoustic radiation (left),0.1586917692528792
44,Weighted-mean FA in tract acoustic radiation (left),0.1411941904629844
45,Weighted-mean FA in tract acoustic radiation (left),0.1392007149886622
46,Weighted-mean FA in tract acoustic radiation (left),0.1523702993045529
47,Weighted-mean FA in tract acoustic radiation (left),0.1057258280698239
48,Weighted-mean FA in tract acoustic radiation (left),0.117557161317906
49,Weighted-mean FA in tract acoustic radiation (left),0.1524975870961926
50,Weighted-mean FA in tract acoustic radiation (left),0.1158876441084962
51,Weighted-mean FA in tract acoustic radiation (left),0.1757548283262437
52,Weighted-mean FA in tract acoustic radiation (left),0.094095937176865
53,Weighted-mean FA in tract acoustic radiation (left),0.1282969154731948
54,Weighted-mean FA in tract acoustic radiation (left),0.0968998997043943
55,Weighted-mean FA in tract acoustic radiation (left),0.1539600017049611
56,Weighted-mean FA in tract acoustic radiation (left),0.1685224561588389
57,Weighted-mean FA in tract acoustic radiation (left),0.0953914608330984
58,Weighted-mean FA in tract acoustic radiation (left),0.1270645146734539
59,Weighted-mean FA in tract acoustic radiation (left),0.1596879776354315
60,Weighted-mean FA in tract acoustic radiation (left),0.1429858594613908
61,Weighted-mean FA in tract acoustic radiation (left),0.1205840847427229
62,Weighted-mean FA in tract acoustic radiation (left),0.0946494066534733
63,Weighted-mean FA in tract acoustic radiation (left),0.0968559374385901
64,Weighted-mean FA in tract acoustic radiation (left),0.1234141446766952
65,Weighted-mean FA in tract acoustic radiation (left),0.094193060313335
66,Weighted-mean FA in tract acoustic radiation (left),0.1455976704519857
67,Weighted-mean FA in tract acoustic radiation (left),0.1021344330174694
68,Weighted-mean FA in tract acoustic radiation (left),0.1124479846758959
69,Weighted-mean FA in tract acoustic radiation (left),0.2035626572021345
70,Weighted-mean FA in tract acoustic radiation (left),0.0961049254979307
71,Weighted-mean FA in tract acoustic radiation (left),0.09797048489249
72,Weighted-mean FA in tract acoustic radiation (left),0.1329260080574973
73,Weighted-mean FA in tract acoustic radiation (left),0.1290652238117302
74,Weighted-mean FA in tract acoustic radiation (left),0.0759139411769144
75,Weighted-mean FA in tract acoustic radiation (left),0.1336921188625806
76,Weighted-mean FA in tract acoustic radiation (left),0.1318897218166667
77,Weighted-mean FA in tract acoustic radiation (left),0.1026578324100217
78,Weighted-mean FA in tract acoustic radiation (left),0.1610458907863927
79,Weighted-mean FA in tract acoustic radiation (left),0.1188363018832468
80,Weighted-mean FA in tract acoustic radiation (left),0.1624688065163174
81,Weighted-mean FA in tract acoustic radiation (left),0.1314127266721679
82,Weighted-mean FA in tract acoustic radiation (left),0.1134833382772044
83,Weighted-mean FA in tract acoustic radiation (left),0.1789863626547488
84,Weighted-mean FA in tract acoustic radiation (left),0.1313875231971693
85,Weighted-mean FA in tract acoustic radiation (left),0.1462389216056288
86,Weighted-mean FA in tract acoustic radiation (left),0.166941727173828
87,Weighted-mean FA in tract acoustic radiation (left),0.1138322431655158
88,Weighted-mean FA in tract acoustic radiation (left),0.1486698872067429
89,Weighted-mean FA in tract acoustic radiation (left),0.1492937041814656
90,Weighted-mean FA in tract acoustic radiation (left),0.1010498229968024
91,Weighted-mean FA in tract acoustic radiation (left),0.1826093456256131
92,Weighted-mean FA in tract acoustic radiation (left),0.113271565095969
93,Weighted-mean FA in tract acoustic radiation (left),0.152557321387099
94,Weighted-mean FA in tract acoustic radiation (left),0.1093799312587503
95,Weighted-mean FA in tract acoustic radiation (left),0.1231997106147484
96,Weighted-mean FA in tract acoustic radiation (left),0.1120717505831148
97,Weighted-mean FA in tract acoustic radiation (left),0.0200608425278068
98,Weighted-mean FA in tract acoustic radiation (left),0.0982084860101571
99,Weighted-mean FA in tract acoustic radiation (left),0.1342193542417612
0,Weighted-mean FA in tract acoustic radiation (right),0.0316723436092738
1,Weighted-mean FA in tract acoustic radiation (right),0.0033652591227573
2,Weighted-mean FA in tract acoustic radiation (right),0.0344830632004239
3,Weighted-mean FA in tract acoustic radiation (right),0.0586461018573978
4,Weighted-mean FA in tract acoustic radiation (right),0.0191695731024469
5,Weighted-mean FA in tract acoustic radiation (right),0.0113168535653565
6,Weighted-mean FA in tract acoustic radiation (right),0.0823029347176471
7,Weighted-mean FA in tract acoustic radiation (right),0.0055914531082361
8,Weighted-mean FA in tract acoustic radiation (right),0.0035764711361575
9,Weighted-mean FA in tract acoustic radiation (right),0.0354334864587971
10,Weighted-mean FA in tract acoustic radiation (right),-0.0426705156125099
11,Weighted-mean FA in tract acoustic radiation (right),-0.0134153857034177
12,Weighted-mean FA in tract acoustic radiation (right),-0.011305445874951
13,Weighted-mean FA in tract acoustic radiation (right),-0.0147077739292844
14,Weighted-mean FA in tract acoustic radiation (right),0.0319711437469443
15,Weighted-mean FA in tract acoustic radiation (right),-0.0430286234851065
16,Weighted-mean FA in tract acoustic radiation (right),0.0140284098612043
17,Weighted-mean FA in tract acoustic radiation (right),0.0753067190779816
18,Weighted-mean FA in tract acoustic radiation (right),-0.0140594216485051
19,Weighted-mean FA in tract acoustic radiation (right),0.0036891764972472
20,Weighted-mean FA in tract acoustic radiation (right),0.0033300464120839
