label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.3937088978528063,0.4290575389555743
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.39092626334365527,0.4352382041662561
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.38856045519339905,0.42729368841132753
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.4036323057615906,0.43246869145304007
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.38588013898066686,0.4293580848168981
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.38372277735693056,0.43126885012792254
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.3766699825017168,0.41102900610426873
Weighted-mean FA in tract posterior thalamic radiation (left),-0.3633519445684472,0.3832359587696452
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.3855675372908582,0.43078612401421207
Weighted-mean ICVF in tract forceps minor,-0.38645222890460573,0.4266261420454798
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.40542246062530934,0.4513797997164856
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.40048354413033593,0.4524802394704178
Weighted-mean FA in tract forceps minor,-0.3720923691735466,0.3918948314396178
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.3919028886736464,0.42336337186009754
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.39034404888321167,0.4079095035536686
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-0.3949324656502772,0.42546703187093093
Weighted-mean OD in tract superior thalamic radiation (right),-0.37347437064375344,0.39340358772002293
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.3952221868561394,0.411992216397708
Weighted-mean OD in tract superior thalamic radiation (left),-0.36862436061920006,0.38973034639824267
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.3962510462230637,0.40279000192966774
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.403105137912772,0.44915017443873984
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.3971742194956789,0.3972013705223132
Weighted-mean FA in tract posterior thalamic radiation (right),-0.36206280516082723,0.3834418193547472
Weighted-mean ICVF in tract posterior thalamic radiation (left),-0.36628972215515065,0.42069195341253723
Weighted-mean FA in tract superior longitudinal fasciculus (left),-0.4031231370358311,0.4016966472983907
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),-0.4020841468341947,0.4553998286528539
Weighted-mean FA in tract anterior thalamic radiation (left),-0.35245606582265454,0.38235864986488866
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-0.3207118458935057,0.33679418992636617
Weighted-mean ICVF in tract posterior thalamic radiation (right),-0.3733256431202383,0.4175398151582095
Weighted-mean FA in tract superior longitudinal fasciculus (right),-0.39992824680252037,0.40063952785227874
Weighted-mean FA in tract uncinate fasciculus (left),-0.3663614967531752,0.3817916705639152
Weighted-mean FA in tract anterior thalamic radiation (right),-0.3514918320251373,0.3931637065005371
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),-0.3294399776070669,0.3526870313607856
Weighted-mean FA in tract uncinate fasciculus (right),-0.3574229943676714,0.37461238961930365
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),-0.3700780401666318,0.3680084885581481
Weighted-mean ICVF in tract acoustic radiation (left),-0.36665852274575444,0.4077026597884905
Weighted-mean FA in tract cingulate gyrus part of cingulum (right),-0.3720162869447274,0.37733397921364725
Weighted-mean ICVF in tract acoustic radiation (right),-0.3742554205420345,0.4119411427714367
Weighted-mean ICVF in tract corticospinal tract (left),-0.37691957299990553,0.4057483988543457
Weighted-mean OD in tract anterior thalamic radiation (right),-0.36208253299147963,0.36491820176588874
Weighted-mean ICVF in tract corticospinal tract (right),-0.38479532725957794,0.40681682547071035
Weighted-mean ICVF in tract forceps major,-0.3626429043766408,0.39926501746469595
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),-0.29925156578707784,0.3623215561074011
Weighted-mean OD in tract acoustic radiation (right),-0.32966566449974505,0.3301909165748005
Weighted-mean MO in tract posterior thalamic radiation (left),-0.3115894638526744,0.3353569266557597
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),-0.31650020595132844,0.35954187155046513
Weighted-mean MO in tract forceps minor,-0.34252726651727194,0.3480927252125738
Weighted-mean FA in tract parahippocampal part of cingulum (left),-0.3646914457327147,0.3587263513155618
Weighted-mean FA in tract forceps major,-0.4090349383642159,0.413281311471828
Weighted-mean ISOVF in tract acoustic radiation (left),-0.3101970422485497,0.29985442867859396
Weighted-mean OD in tract anterior thalamic radiation (left),-0.3697542042214725,0.3588893852650334
Weighted-mean MO in tract inferior longitudinal fasciculus (left),-0.3061094280296073,0.3390948820806477
Weighted-mean MO in tract posterior thalamic radiation (right),-0.3171897189645568,0.34654692859106634
Weighted-mean OD in tract corticospinal tract (left),-0.3487871306729707,0.35514109336982624
Weighted-mean MO in tract forceps major,-0.34492166333775254,0.3314017264933504
Weighted-mean ICVF in tract parahippocampal part of cingulum (left),-0.3516347572370538,0.3399607007638029
Weighted-mean OD in tract corticospinal tract (right),-0.34438302219043715,0.35388529416932407
Weighted-mean MO in tract inferior longitudinal fasciculus (right),-0.30819901395637433,0.35429763364554334
Weighted-mean ISOVF in tract acoustic radiation (right),-0.31698223157297256,0.3024922783562715
Weighted-mean MO in tract uncinate fasciculus (right),-0.31231655316453383,0.3105000639024961
Weighted-mean MO in tract uncinate fasciculus (left),-0.29493558583338914,0.29537513552837835
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),-0.3315099316980906,0.35677250145236955
Weighted-mean OD in tract superior longitudinal fasciculus (right),-0.3729580286197186,0.3871921277950101
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),-0.32744909842747855,0.3447392191768954
Weighted-mean FA in tract parahippocampal part of cingulum (right),-0.3790422091459218,0.3490049768695106
Weighted-mean OD in tract middle cerebellar peduncle,-0.3959712582623812,0.3987517756772096
Weighted-mean OD in tract acoustic radiation (left),-0.3549147884088597,0.34485979135828565
Weighted-mean OD in tract superior longitudinal fasciculus (left),-0.3787007180042762,0.39445140464875433
Weighted-mean ICVF in tract parahippocampal part of cingulum (right),-0.36018934436622074,0.3632189629691532
Weighted-mean FA in tract acoustic radiation (left),-0.3533582137607842,0.38386690883452623
Weighted-mean FA in tract corticospinal tract (left),-0.36640949132353834,0.38884302043765023
Weighted-mean FA in tract corticospinal tract (right),-0.37827724719205325,0.3837449409121129
Weighted-mean ICVF in tract middle cerebellar peduncle,-0.32867317214180336,0.3293013627777438
