label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.37966746456690886,0.3945449710329523
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.3839304828897883,0.39035026815356366
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.3877874486369822,0.39173498311228855
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.38797442386293024,0.39023911769335806
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.41900634086282446,0.40497947708293686
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.3943249627162445,0.39027170659417126
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.4199513441247722,0.42159807959622
Weighted-mean FA in tract posterior thalamic radiation (left),-0.3784506049905016,0.38289217800609754
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.3982479236988509,0.4007802403559383
Weighted-mean ICVF in tract forceps minor,-0.39219914885689916,0.39152359146871174
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.41028018494481966,0.40187344264007485
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.4147010539805514,0.40220571800198474
Weighted-mean FA in tract forceps minor,-0.367412682126868,0.3636502072229281
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.4136110153146751,0.4033951073209944
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.3932542380609177,0.3890815314910444
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-0.4064719731825952,0.40879687355674915
Weighted-mean OD in tract superior thalamic radiation (right),-0.37220700620651276,0.3822428556628464
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.3959340102703236,0.3897028139333
Weighted-mean OD in tract superior thalamic radiation (left),-0.3825353711644725,0.38329945691720557
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.38009425493303783,0.39480397473804746
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.4090701200133833,0.3985730228917461
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.38778380662495265,0.3942159869932427
Weighted-mean ICVF in tract posterior thalamic radiation (left),-0.4073410066018834,0.37093368658516507
Weighted-mean FA in tract posterior thalamic radiation (right),-0.38104860723908984,0.3721483056425781
Weighted-mean FA in tract superior longitudinal fasciculus (left),-0.4039913734705164,0.40643206074936394
