label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.4063574740306288,0.43126324110380737
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.41297897301505165,0.42543637140602736
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.40830942858368136,0.4302166951225436
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.3985212078057536,0.41534464889705897
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.4155204901638236,0.4328505498704523
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.418158275992023,0.43387790963961187
Weighted-mean FA in tract posterior thalamic radiation (left),-0.39343974058462156,0.39788050522923646
Weighted-mean OD in tract superior thalamic radiation (right),-0.39440092575364016,0.3736725095386902
Weighted-mean OD in tract superior thalamic radiation (left),-0.3970637234983799,0.3813698579312023
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.38987939388713444,0.4206449157042499
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.4233300242988505,0.4575319179070117
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.4247268247885031,0.4437886457901896
Weighted-mean ICVF in tract forceps minor,-0.4169869433733768,0.4328241598274787
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.3869589032450113,0.43149578347299
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.40790707558837436,0.4052612100006038
Weighted-mean FA in tract forceps minor,-0.38294729532614075,0.3959728681755295
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.40168052826454004,0.41178312705660153
Weighted-mean ICVF in tract posterior thalamic radiation (left),-0.3974581356235634,0.4200069586387892
Weighted-mean FA in tract posterior thalamic radiation (right),-0.3873053407240648,0.3879602758055621
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.41962314883774093,0.4462048588414755
Weighted-mean OD in tract anterior thalamic radiation (right),-0.37157383323390786,0.38938083284925706
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.4127127322346126,0.4193943965047768
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),-0.4259265486234858,0.44848975325701806
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.41517239748399354,0.4260852934929511
Weighted-mean ICVF in tract posterior thalamic radiation (right),-0.39675575769280885,0.41674065518481185
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.42722111148983993,0.4144433911557448
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-0.4164527637890432,0.4199466348688536
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-0.338900105267508,0.3463469738064873
Weighted-mean FA in tract superior longitudinal fasciculus (left),-0.41510523080010214,0.4123299013355507
Weighted-mean FA in tract anterior thalamic radiation (left),-0.3700373185095886,0.4038380560379406
Weighted-mean FA in tract superior longitudinal fasciculus (right),-0.40881092087832727,0.39233406357526485
Weighted-mean FA in tract uncinate fasciculus (left),-0.4034277422947116,0.4062186358913599
Weighted-mean FA in tract uncinate fasciculus (right),-0.40124972854036695,0.4082910880702172
Weighted-mean ICVF in tract acoustic radiation (left),-0.38337074292743156,0.40291548536636607
Weighted-mean ICVF in tract corticospinal tract (left),-0.37958267311331756,0.41050302808934774
Weighted-mean OD in tract acoustic radiation (right),-0.35506194748180653,0.34294483233273737
Weighted-mean FA in tract anterior thalamic radiation (right),-0.363994033758188,0.3838710026708249
Weighted-mean OD in tract anterior thalamic radiation (left),-0.3809157935389426,0.394718893408094
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),-0.3942958357117846,0.3716647914159292
Weighted-mean ICVF in tract acoustic radiation (right),-0.38650261022771665,0.4163451463437674
Weighted-mean ICVF in tract corticospinal tract (right),-0.3819465111191232,0.40452750291504275
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),-0.34629805419054743,0.33535006690279645
Weighted-mean ICVF in tract forceps major,-0.3743700571006602,0.3888572655490161
Weighted-mean FA in tract cingulate gyrus part of cingulum (right),-0.39496141403722823,0.39025283698567803
Weighted-mean OD in tract superior longitudinal fasciculus (right),-0.371955404726434,0.36039588873630657
Weighted-mean MO in tract posterior thalamic radiation (left),-0.3210642082301184,0.3349511255005642
Weighted-mean OD in tract corticospinal tract (right),-0.38068664996004437,0.3598691235449733
Weighted-mean OD in tract superior longitudinal fasciculus (left),-0.36991549130264717,0.35438471418048545
Weighted-mean OD in tract corticospinal tract (left),-0.3762180710800426,0.354247154883059
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),-0.30112807377238554,0.31163171991803146
Weighted-mean MO in tract forceps minor,-0.3598662224084944,0.36351042657222576
Weighted-mean FA in tract forceps major,-0.3901575001047936,0.4028570152404345
Weighted-mean MO in tract posterior thalamic radiation (right),-0.33203140611806875,0.32971293807681373
Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),-0.33670736243201166,0.3692042000960584
Weighted-mean ICVF in tract parahippocampal part of cingulum (left),-0.3422303340435974,0.33515315727130807
Weighted-mean MO in tract uncinate fasciculus (right),-0.2956484991000423,0.2822377842798153
Weighted-mean ISOVF in tract acoustic radiation (left),-0.33541743305311233,0.3319636126142293
Weighted-mean MO in tract inferior longitudinal fasciculus (left),-0.3081382063952471,0.3268033538744442
Weighted-mean MO in tract forceps major,-0.3043438856363706,0.325048217473845
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),-0.3289885611174253,0.3332959345692132
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),-0.34620312770186357,0.3609374022404368
Weighted-mean MO in tract uncinate fasciculus (left),-0.27042790835552605,0.2863884308386441
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),-0.3521667485225604,0.3672146859531298
Weighted-mean ICVF in tract parahippocampal part of cingulum (right),-0.34729625576485795,0.3567511631803329
Weighted-mean FA in tract parahippocampal part of cingulum (left),-0.4019393412329634,0.3953081605608663
Weighted-mean OD in tract acoustic radiation (left),-0.3377634700601332,0.34725242643249865
Weighted-mean OD in tract posterior thalamic radiation (right),-0.32490785847017867,0.3307907140939317
Weighted-mean OD in tract forceps minor,-0.35852458948527516,0.3652085398352144
Weighted-mean OD in tract inferior longitudinal fasciculus (right),-0.3546611787683577,0.3499893112498911
Weighted-mean FA in tract acoustic radiation (left),-0.35783670639750464,0.3441067595343271
Weighted-mean MO in tract inferior longitudinal fasciculus (right),-0.3152785245446968,0.32865300937088004
Weighted-mean OD in tract middle cerebellar peduncle,-0.3686381569101687,0.3783360910235967
Weighted-mean ISOVF in tract acoustic radiation (right),-0.3186981752465197,0.3095910599503209
Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),-0.334045715855098,0.3486259391649546
Weighted-mean ICVF in tract middle cerebellar peduncle,-0.317439952521112,0.3370610514631371
Weighted-mean FA in tract corticospinal tract (left),-0.36205888006882947,0.3937902687837633
Weighted-mean FA in tract corticospinal tract (right),-0.35847995339942396,0.3858115937427649
Weighted-mean OD in tract forceps major,-0.3691502713959691,0.3266962075769911
Weighted-mean FA in tract parahippocampal part of cingulum (right),-0.3921253801811601,0.36901414934234356
Weighted-mean OD in tract inferior longitudinal fasciculus (left),-0.3272692957706716,0.3429446749927862
Weighted-mean FA in tract superior thalamic radiation (right),-0.38178527947540725,0.38287412254421777
Weighted-mean FA in tract superior thalamic radiation (left),-0.37816551317976027,0.38121104483683227
Weighted-mean FA in tract middle cerebellar peduncle,-0.318741510912973,0.3233728674363623
Weighted-mean OD in tract parahippocampal part of cingulum (right),-0.3627060256927796,0.36368411936788086
Weighted-mean FA in tract medial lemniscus (left),-0.3380250878905926,0.3284012487215323
Weighted-mean OD in tract posterior thalamic radiation (left),-0.31423890507670466,0.3438844027169998
Weighted-mean FA in tract medial lemniscus (right),-0.3266308911277015,0.3199769471729297
Weighted-mean ISOVF in tract forceps major,-0.3639545351042761,0.36928897423108387
Weighted-mean MO in tract medial lemniscus (left),-0.33178630933899556,0.3804559942487591
Weighted-mean ICVF in tract medial lemniscus (left),-0.33080212546354315,0.3456537143955212
Weighted-mean MO in tract acoustic radiation (left),-0.2813663654553899,0.2888615976309471
