label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.42599882941685446,0.3941107804038075
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.42292877520597116,0.38357955122776477
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.4317512770304699,0.4022361213105565
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.4322549419491725,0.3973788746529664
Weighted-mean OD in tract superior thalamic radiation (right),-0.3677011096180221,0.4103049635857089
Weighted-mean OD in tract superior thalamic radiation (left),-0.3619146172178273,0.41540418266883056
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.4376436355213963,0.40148996390649977
Weighted-mean FA in tract posterior thalamic radiation (left),-0.4051906404064906,0.36075231300795296
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.43541202694590403,0.4075891012795368
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.39468371662354573,0.3817852426662226
Weighted-mean ICVF in tract forceps minor,-0.4233497989877023,0.38859129972574546
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.43818957772513645,0.408283557041602
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.4115068030013142,0.39171402013289375
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.4332385443026176,0.4091368147494448
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.41202101023697746,0.38359826761379556
Weighted-mean FA in tract forceps minor,-0.3763131087945475,0.37034519097631396
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.41388177747507493,0.39221402069094735
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-0.4038706332311259,0.3824891498527142
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.3869573825235296,0.3798425015418996
Weighted-mean FA in tract posterior thalamic radiation (right),-0.4010246926511294,0.339772445377711
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.4154145544826038,0.3839447283735031
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.42830975512992303,0.40687954127712334
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.3945987873564389,0.38650943515904057
Weighted-mean ICVF in tract posterior thalamic radiation (left),-0.4130650825240585,0.3949290382165126
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),-0.4280892561193517,0.40538788268130255
Weighted-mean FA in tract superior longitudinal fasciculus (left),-0.4260702607056147,0.3937456784357284
Weighted-mean FA in tract anterior thalamic radiation (left),-0.3705229256392989,0.3779990216276164
Weighted-mean ICVF in tract posterior thalamic radiation (right),-0.4069846149062209,0.39510910488353085
Weighted-mean FA in tract uncinate fasciculus (left),-0.3923081220297343,0.3919656967214979
Weighted-mean FA in tract superior longitudinal fasciculus (right),-0.4166962125721954,0.3937571557541237
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-0.3381399646024876,0.33192929768050133
Weighted-mean OD in tract anterior thalamic radiation (right),-0.3587228892964262,0.3690112375747708
Weighted-mean FA in tract uncinate fasciculus (right),-0.36471470380044635,0.36867267156936834
Weighted-mean FA in tract anterior thalamic radiation (right),-0.3708156059573473,0.37809950322415187
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),-0.3402787257196408,0.34795495247897634
Weighted-mean FA in tract cingulate gyrus part of cingulum (right),-0.38641071439930014,0.3841274649609968
Weighted-mean ICVF in tract acoustic radiation (left),-0.4121830888958459,0.37529968483670967
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),-0.3762864807996625,0.3823266890197072
Weighted-mean ICVF in tract corticospinal tract (left),-0.404490982765612,0.3794361809012433
Weighted-mean ICVF in tract acoustic radiation (right),-0.4036732747469378,0.3761944095967408
Weighted-mean ICVF in tract corticospinal tract (right),-0.4140458537396214,0.3819249721323986
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),-0.3178508682629491,0.30738336827575324
Weighted-mean MO in tract posterior thalamic radiation (left),-0.32879406486933693,0.3204417907279681
Weighted-mean OD in tract anterior thalamic radiation (left),-0.3584386955462016,0.3488038447080726
Weighted-mean ICVF in tract forceps major,-0.39159237834685495,0.3801468337060053
Weighted-mean ISOVF in tract acoustic radiation (left),-0.3450409369706442,0.33207634317564627
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),-0.3150387762106247,0.3135609494551587
