label,quantile_0.025,quantile_0.975
[Symbol digit substitution] Number of symbol digit matches attempted,-0.48397766102308454,0.4901357593243961
[Symbol digit substitution] Number of symbol digit matches made correctly,-0.4719102994069491,0.484438243754857
[Prospective memory] Prospective memory result (1),-0.3517982461247042,0.3597504983539745
[Tower rearranging] Number of puzzles correct,-0.4626814572512307,0.5061075354866535
[Fluid intelligence / reasoning] FI7 : synonym (3),-0.34335769489082546,0.3889164912008256
[Matrix pattern completion] Number of puzzles correctly solved,-0.47321246394561617,0.4886141215952557
[Fluid intelligence / reasoning] FI3 : word interpolation (4),-0.31930273213708893,0.3434376697666271
[Numeric memory] Maximum digits remembered correctly,-0.45064590113775116,0.46641806429213206
[Tower rearranging] Number of puzzles attempted,-0.45120334661063516,0.48422597760867386
[Fluid intelligence / reasoning] Number of fluid intelligence questions attempted within time limit,-0.4478492188928598,0.45113257663875617
[Fluid intelligence / reasoning] FI4 : positional arithmetic (6),-0.3316691756090794,0.3435539429539827
[Fluid intelligence / reasoning] FI6 : conditional arithmetic (69),-0.3691835991212884,0.3820958059444305
[Numeric memory] Number of rounds of numeric memory test performed,-0.44296364461104526,0.4354858622697389
[Fluid intelligence / reasoning] Fluid intelligence score,-0.4555896047325298,0.4380660429679831
[Matrix pattern completion] Number of puzzles viewed,-0.420188133407645,0.40457858734248076
[Pairs matching] Number of correct matches in round (mean3),-0.36528705100703895,0.38314606962424164
[Pairs matching] Number of correct matches in round (std3),-0.37333052867061073,0.4229703625964687
[Fluid intelligence / reasoning] FI8 : chained arithmetic (26),-0.40855038526987303,0.40047019523515726
[Fluid intelligence / reasoning] FI5 : family relationship calculation (4),-0.4167201482673972,0.41744391237168366
[Numeric memory] Time to complete test,-0.44102211194616064,0.4209836824022342
[Pairs matching] Number of incorrect matches in round (std3),-0.42580186482945287,0.42576039271444494
[Matrix pattern completion] Duration spent answering each puzzle (std15),-0.4532966978715462,0.4743409968470366
[Pairs matching] Number of incorrect matches in round (mean3),-0.4284672105512989,0.4045454591713442
[Trail making] Total errors traversing numeric path (trail #1),-0.3382219122144608,0.3202091961439805
[Pairs matching] Time to complete round (mean3),-0.41987960389058515,0.41105264335004404
[Trail making] Duration to complete alphanumeric path (trail #2),-0.4438910240519627,0.47836506874926327
[Pairs matching] Time to complete round (std3),-0.42211266399799474,0.4121695337286536
[Matrix pattern completion] Duration spent answering each puzzle (mean15),-0.4679030945520237,0.49434818989941137
[Prospective memory] Number of attempts,-0.40956576175579984,0.44816522992041513
[Reaction time] Duration to first press of snap-button in each round (std12),-0.44369683695815626,0.463319574925109
[Numeric memory] Time last key touched (std16),-0.4360455293387748,0.4590889941079788
[Trail making] Total errors traversing alphanumeric path (trail #2),-0.37775936351619194,0.37458058761915225
[Numeric memory] Time last key touched (mean16),-0.46190019609728117,0.465101139322564
[Trail making] Duration to complete numeric path (trail #1),-0.41857571152912787,0.4254488960406142
[Trail making] Interval between previous point and current one in numeric path (trail #1) (std25),-0.4475828489849374,0.4403149092556769
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (std25),-0.48280543542047694,0.4345199396247256
[Reaction time] Duration to first press of snap-button in each round (mean12),-0.40586383527083686,0.39293020252498106
[Reaction time] Mean time to correctly identify matches,-0.41724219955900865,0.3872291109501043
[Trail making] Interval between previous point and current one in numeric path (trail #1) (mean25),-0.456006470736822,0.4566912180511612
[Trail making] Interval between previous point and current one in alphanumeric path (trail #2) (mean25),-0.4885763209082543,0.4227586686377797
