label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.39707125699535417,0.4191092253207974
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.3975175704947792,0.4091528477159414
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.39236900158041693,0.3959356947490487
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.3988458924380993,0.40800435107350697
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.4143251843088891,0.39849409662002133
Weighted-mean FA in tract posterior thalamic radiation (left),-0.38062543124531795,0.38029920828945546
Weighted-mean OD in tract superior thalamic radiation (right),-0.40204287571512076,0.35845418551251773
Weighted-mean OD in tract superior thalamic radiation (left),-0.40170703291821397,0.36207873912191546
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.4063047164372429,0.40138111213787786
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.40131993275039224,0.38490458820467205
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.3925639448587652,0.3892506771187454
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.4236076969963927,0.4146373991380472
Weighted-mean ICVF in tract forceps minor,-0.3896364611055398,0.3954091255403733
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.42030936562099536,0.4107359333480313
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.39557994286374787,0.41293015521728693
Weighted-mean FA in tract posterior thalamic radiation (right),-0.3734767908757371,0.3725177779851531
Weighted-mean FA in tract forceps minor,-0.38194544104550876,0.3839205059891178
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.3941731470236531,0.4051863487501877
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.36733077299437605,0.4001642927817154
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-0.34431408497455185,0.33585485508270185
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.4348306186455236,0.396014412466854
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.362543366906616,0.3948593283435743
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.3946300308870884,0.41981873334129843
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),-0.40157593189785257,0.41718927307164694
Weighted-mean ICVF in tract posterior thalamic radiation (left),-0.40647396970181604,0.3887635754703228
Weighted-mean FA in tract anterior thalamic radiation (left),-0.386088331678938,0.3932037510187082
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),-0.42262368886398494,0.39368086983873724
Weighted-mean ICVF in tract posterior thalamic radiation (right),-0.3943890905370061,0.3831362459696998
Weighted-mean FA in tract anterior thalamic radiation (right),-0.3799402454643118,0.392299422471637
Weighted-mean FA in tract superior longitudinal fasciculus (left),-0.3975392889139335,0.4176136403441642
Weighted-mean MO in tract cingulate gyrus part of cingulum (right),-0.3469257659556467,0.3322201973836238
Weighted-mean FA in tract cingulate gyrus part of cingulum (left),-0.37311932028363265,0.366283750226195
Weighted-mean ICVF in tract acoustic radiation (left),-0.38584919777363114,0.3944299307118585
Weighted-mean OD in tract anterior thalamic radiation (right),-0.4031383829933319,0.3530892994811594
Weighted-mean ICVF in tract corticospinal tract (left),-0.37298342048888994,0.3799441420680244
Weighted-mean FA in tract superior longitudinal fasciculus (right),-0.3992224005417897,0.4062433291070023
Weighted-mean ICVF in tract acoustic radiation (right),-0.38183198053931544,0.39419141628816134
Weighted-mean ICVF in tract corticospinal tract (right),-0.3649221285889329,0.3766272424648898
Weighted-mean FA in tract cingulate gyrus part of cingulum (right),-0.37172670524146034,0.3741368769272838
Weighted-mean FA in tract uncinate fasciculus (left),-0.3862052495143726,0.3990514815280714
Weighted-mean MO in tract posterior thalamic radiation (left),-0.31938529903451957,0.32650627110213737
Weighted-mean FA in tract uncinate fasciculus (right),-0.365803019938455,0.3782645225451724
Weighted-mean ICVF in tract forceps major,-0.39120130920673685,0.3556095428890307
Weighted-mean MO in tract inferior fronto-occipital fasciculus (left),-0.32142088936774016,0.34179480172774374
Weighted-mean OD in tract acoustic radiation (right),-0.3812096889745143,0.3403853710893751
Weighted-mean OD in tract anterior thalamic radiation (left),-0.3853198715533992,0.35719666976063374
Weighted-mean OD in tract corticospinal tract (left),-0.396115709475384,0.3530483076401379
Weighted-mean OD in tract superior longitudinal fasciculus (right),-0.3982081874547819,0.3685566019581411
Weighted-mean OD in tract corticospinal tract (right),-0.38446151948603674,0.3522154985441413
Weighted-mean MO in tract inferior fronto-occipital fasciculus (right),-0.3289821501115679,0.3453073087110956
Weighted-mean MO in tract posterior thalamic radiation (right),-0.3280693729478929,0.3210412206121922
Weighted-mean MO in tract forceps minor,-0.3498844779110571,0.35273096061086584
Weighted-mean OD in tract superior longitudinal fasciculus (left),-0.3912136110622655,0.38341002997159995
Weighted-mean MO in tract forceps major,-0.30333466072937937,0.28427860817394374
Weighted-mean FA in tract forceps major,-0.39029660862600635,0.37717934924496355
Weighted-mean FA in tract parahippocampal part of cingulum (left),-0.37988739410297484,0.39964381052465225
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),-0.3761141426365697,0.34792565356836347
Weighted-mean MO in tract inferior longitudinal fasciculus (left),-0.2911254561324966,0.3125891639974258
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),-0.35673320568004,0.3432582355137541
Weighted-mean ISOVF in tract acoustic radiation (left),-0.32625650863778066,0.2983594213791232
Weighted-mean MO in tract inferior longitudinal fasciculus (right),-0.3119216477394252,0.3412710824239345
Weighted-mean ICVF in tract parahippocampal part of cingulum (left),-0.3383204137219794,0.33510325967053783
Weighted-mean OD in tract middle cerebellar peduncle,-0.380966423683117,0.3728106182115317
Weighted-mean MO in tract uncinate fasciculus (right),-0.27343137643503856,0.31304543764503046
Weighted-mean MO in tract uncinate fasciculus (left),-0.2918720966860839,0.3031447865401657
Weighted-mean OD in tract acoustic radiation (left),-0.37422554860060675,0.35196219643421617
Weighted-mean FA in tract acoustic radiation (left),-0.37980155782666014,0.4003810153864698
Weighted-mean ICVF in tract parahippocampal part of cingulum (right),-0.3324344038088253,0.33001298813557806
Weighted-mean ISOVF in tract acoustic radiation (right),-0.3376123923279942,0.30496186252645896
Weighted-mean FA in tract parahippocampal part of cingulum (right),-0.3915944656146033,0.38835783142904784
Weighted-mean OD in tract inferior fronto-occipital fasciculus (right),-0.3673644784406093,0.3509170161704004
Weighted-mean ICVF in tract middle cerebellar peduncle,-0.3053018459048998,0.3227386690816031
Weighted-mean OD in tract forceps minor,-0.37206549538132483,0.3281185128566558
Weighted-mean FA in tract corticospinal tract (left),-0.3760329179689475,0.36732727953873895
Weighted-mean FA in tract superior thalamic radiation (left),-0.3795336842789849,0.4069882205021699
Weighted-mean FA in tract superior thalamic radiation (right),-0.37399202205521037,0.4056286158211737
Weighted-mean FA in tract corticospinal tract (right),-0.36987674306920537,0.3713838175365247
Weighted-mean ISOVF in tract forceps major,-0.34643046081595597,0.37138681397003837
Weighted-mean MO in tract anterior thalamic radiation (right),-0.32675709055940955,0.33803698644858227
Weighted-mean MO in tract anterior thalamic radiation (left),-0.3320855067446171,0.33578509882635543
