label,quantile_0.025,quantile_0.975
Weighted-mean ICVF in tract anterior thalamic radiation (right),-0.39759008734144075,0.3897787665557435
Weighted-mean ICVF in tract anterior thalamic radiation (left),-0.39388515124349827,0.3862100647562706
Weighted-mean ICVF in tract superior thalamic radiation (left),-0.4006642254087372,0.3784058247564004
Weighted-mean ICVF in tract superior thalamic radiation (right),-0.4045762784455573,0.39348207300000804
Weighted-mean ICVF in tract superior longitudinal fasciculus (left),-0.38976706197511335,0.3800816566542225
Weighted-mean FA in tract posterior thalamic radiation (left),-0.34854783488483077,0.35042707653179744
Weighted-mean OD in tract superior thalamic radiation (right),-0.39888575146555993,0.412472357399832
Weighted-mean OD in tract superior thalamic radiation (left),-0.3940426269452562,0.4132248147269877
Weighted-mean ICVF in tract superior longitudinal fasciculus (right),-0.39599309976051766,0.3834893103371559
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left),-0.36750064105326974,0.3830347293956661
Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),-0.3708323332304263,0.38094741731700554
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left),-0.3976221152513426,0.38829447976216436
Weighted-mean ICVF in tract forceps minor,-0.3870030740700719,0.3807468878074086
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),-0.3969380542852581,0.3803756420030213
Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right),-0.40846812239219177,0.3976036919084863
Weighted-mean FA in tract forceps minor,-0.3743271710580192,0.35260478763808306
Weighted-mean FA in tract posterior thalamic radiation (right),-0.3509583335183309,0.35122319391636675
Weighted-mean FA in tract inferior longitudinal fasciculus (left),-0.38783547543110874,0.3874006319258797
Weighted-mean ICVF in tract uncinate fasciculus (left),-0.3551568883920385,0.3891933075460361
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),-0.41026155380302654,0.3819978212530933
Weighted-mean MO in tract cingulate gyrus part of cingulum (left),-0.3249197706073019,0.3440091110104954
Weighted-mean ICVF in tract uncinate fasciculus (right),-0.368054516707657,0.39511922949568296
Weighted-mean FA in tract inferior longitudinal fasciculus (right),-0.3894027417063185,0.38242212612989296
