category_id	title	availability	group_type	descript	notes
0	NONE	0	1	Null-root category for referential integrity	
1	Population characteristics	0	1	This category contains data on some general characteristics of participants.	
2	Ongoing characteristics	0	1	This category contains data on some general characteristics of participants that were obtained or are updated on an ongoing basis following recruitment into UK Biobank.	
42	Algorithmically-defined outcomes	0	1	This category holds classification of selected health-related events, obtained through algorithmic combinations of coded information from UK Biobank's baseline assessment data collection (which included data from participants on their self-reported medical conditions, operations and medications), along with linked data from hospital admissions (diagnoses and procedures) and death registries. The classification is intended to help researchers to include health-related outcomes in their analyses without having to select lists of diagnostic and/or procedural codes and combine the different data sources themselves. It is based on algorithms developed by the UK Biobank outcome adjudication group, aiming to classify disease outcomes with high positive predictive value (i.e. a high probability that people classified as being positive for a health-related event have indeed experienced that event). Where possible, we provide the best available information on the estimated positive predictive value of each source or combination of sources so that researchers can use this information in their analyses. <br> <br> Please note that these fields have not been updated since the March 2019 Showcase update. You might, therefore, find discrepancies between these algorithms and other health outcome fields.	
43	Stroke outcomes	0	1	Stroke outcomes	
44	Myocardial infarction outcomes	0	1	Myocardial infarction outcomes	
45	Asthma outcomes	0	1	Asthma outcomes	
46	COPD outcomes	0	1	Chronic obstructive pulmonary disease outcomes	
47	Dementia outcomes	0	1	Dementia outcomes	
48	End stage renal disease outcomes	0	1	End stage renal disease outcomes	
49	Motor neurone disease outcomes	0	1	Motor neurone disease outcomes	
50	Parkinson's disease outcomes	0	1	Parkinson's disease outcomes	
54	MET Scores	0	1	This category contains derived MET (Metabolic Equivalent Task) scores data based on IPAQ (International Physical Activity Questionnaire) guidelines. Methods on how these fields were derived are described in the following OpenAccess publication that can be found in ~R3594~.	This data was generated as part of UKB Application ID 12184.<br>Principal Investigator: Mike Trenell, Newcastle University
76	Indices of Multiple Deprivation	0	1	Indices of Multiple Deprivation come from a UK government qualitative study of deprived areas in British local councils. The study is conducted separately in England (IMD), Scotland (SIMD) and Wales (WIMD). Scores were gathered from open data published by the UK government.	IMD scores offer a more complex and detailed view of deprivation, based on more factors than the Townsend index (~F189~). As IMD scores are calculated in different ways between England, Scotland and Wales, the UK Biobank team did not attempt to merge them and is publishing them separately. Scores were taken as close as possible to the baseline assessment, resulting in: <p> 8 scores for England, from the 2010 edition of English IMD <br> Original data: https://www.gov.uk/government/collections/english-indices-of-deprivation <ul> <li>Index of Multiple Deprivation</li> <li>Crime score</li> <li>Education score</li> <li>Employment score</li> <li>Health score</li> <li>Housing score</li> <li>Income score</li> <li>Living environment score</li> </ul> <p> 8 scores for Scotland, from the 2009 edition of Scottish IMD <br> Original data: http://www.gov.scot/Topics/Statistics/SIMD <ul> <li>Index of Multiple Deprivation</li> <li>Access to services score</li> <li>Crime score</li> <li>Education score</li> <li>Employment score</li> <li>Health score</li> <li>Housing score</li> <li>Income score</li> </ul> <p> 9 scores for Wales, from the 2008 edition of Welsh IMD <br> Original data: http://gov.wales/statistics-and-research/welsh-index-multiple-deprivation/?lang=en <ul> <li>Index of Multiple Deprivation</li> <li>Access to services score</li> <li>Community safety score</li> <li>Education score</li> <li>Employment score</li> <li>Health score</li> <li>Housing score</li> <li>Income score</li> <li>Physical environment score</li> </ul>
100	Brain MRI	0	1	This category groups together results from the MRI brain imaging studies performed at UK Biobank assessment centres. <p>Before selecting this data it is strongly recommended that researchers view ~R1977~. <p> An email discussion list has been setup for researchers wishing todiscuss any aspects of the UK Biobank imaging protocols, data or analysis at ~Ehttps://www.jiscmail.ac.uk/cgi-bin/webadmin?A0=UKB-NEUROIMAGING~.	The scanner used for data capture is a standard Siemens Skyra 3T running VD13A SP4 (as of October 2015), with a standard Siemens 32-channel RF receive head coil.
101	Carotid ultrasound	0	1	Ultrasound scan of carotid artery	
102	Heart MRI	0	1	Chest MRI imaging	
103	DXA assessment	0	1	Whole body DXA imaging.	
104	ECG at rest, 12-lead	0	1	12-lead ECG	
105	Abdominal MRI	0	1	Abdominal MRI scans	
106	Task functional brain MRI	0	1	Task functional MRI (tfMRI) uses the same measurement technique as resting-state fMRI (~L111~), while the subject performs a particular task or experiences a sensory stimulus. Derived phenotypic fields relate to the strength of response to the specific task (or a specific component of a more complex cognitive process) within a given anatomical brain region. The task used in Biobank was chosen to engage a range of high-level cognitive systems. <p> The task is the Hariri faces/shapes "emotion" task [Hariri et al., 2002, Barch et al., 2013], as implemented in the Human Connectome Project (HCP), but with shorter overall duration and hence fewer total stimulus block repeats. The participants are presented with blocks of trials and asked to decide either which of two faces presented on the bottom of the screen match the face at the top of the screen, or which of two shapes presented at the bottom of the screen match the shape at the top of the screen. The faces have either angry or fearful expressions. The ePrime script that controls the video presented to the participant is derived from the one used by the HCP, and is available under the Resources tab.	
107	Diffusion brain MRI	0	1	Diffusion-weighted imaging is a structural technique that measures the ability of water molecules to move within their local tissue environment. Water diffusion is measured along a range of orientations, providing two types of derived phenotype variables. Local (voxel-wise) estimates of diffusion properties reflect the integrity of microstructural tissue compartments (e.g., diffusion tensor estimates). Long-range estimates based on tract-tracing (tractography) reflect structural connectivity between pairs of brain regions.	
108	Scout images and configuration for brain MRI	0	1	Scout images for brain MRI	
109	Susceptibility weighted brain MRI	0	1	Susceptibility-weighted imaging is a structural technique that is sensitive to magnetized tissue constituents (magnetic susceptibility). Data from one scan (including phase and magnitude images from two echo times) can be processed in multiple ways to reflect venous vasculature, microbleeds or aspects of microstructure (e.g., iron, calcium and myelin).	
110	T1 structural brain MRI	0	1	T1-weighted imaging is a structural technique with high-resolution depiction of brain anatomy, having strong contrast between grey and white matter, reflecting differences in the interaction of water with surrounding tissues (tissue T1 relaxation times). This modality provides derived fields primarily relating to volumes of brain tissues and structures. It is also critical for calculations of cross-subject and cross-modality alignments, needed in order to process all other brain modalities.	
